E(level)(keV),JPi(level),E()(keV),I(),M()
2768.13 25,,2768.4 5,100 17,E 2
2771.35 24,,1639.35 14,100,E 2
2785.77 15,"3,4",2727.11 15,100,E 2
2801.6 3,,2801.7 4,100,E 2
2809.7 4,,nan,nan,E 2
2823.2 5,(8)-,691.0 4,100,E 2
2825.60 11,"3-,4-",2319.36 10,100,E 2
2845.03 14,,1158.85 15,45 6,E 2
2845.03 14,,1158.85 15,100 17,E 2
2845.03 14,,2338.6 3,45 6,E 2
2845.03 14,,2338.6 3,100 17,E 2
2867.57 12,,2128.71 14,1.0E+2 1,E 2
2867.57 12,,2128.71 14,82 11,E 2
2867.57 12,,2361.38 22,1.0E+2 1,E 2
2867.57 12,,2361.38 22,82 11,E 2
2884 10,5+,nan,nan,E 2
2884.92 8,"3-,4-",2099.21 7,100 6,E 2
2884.92 8,"3-,4-",2099.21 7,87 8,E 2
2884.92 8,"3-,4-",2884.43 24,100 6,E 2
2884.92 8,"3-,4-",2884.43 24,87 8,E 2
2897.4 8 ?,,nan,nan,E 2
2901.81 9,,779.98 7,100,E 2
2917.6 8 ?,,nan,nan,E 2
2920.4 4,,2632.1 4,75 16,E 2
2920.4 4,,2632.1 4,100 23,E 2
2920.4 4,,2861.2 7,75 16,E 2
2920.4 4,,2861.2 7,100 23,E 2
2936.48 14,,1226.79 4,100,E 2
2939.2 9,,nan,nan,E 2
2944.2 3,,744.27 6,100,E 2
2963.09 11,,532.11 4,100,E 2
2996.9 3,,2454.0 3,100,E 2
3010.1 3,,1176.9 3,100,E 2
3022.28 9,"3,4",1382.41 7,100 6,E 2
3022.28 9,"3,4",1382.41 7,51 13,E 2
3022.28 9,"3,4",2745.7 9,100 6,E 2
3022.28 9,"3,4",2745.7 9,51 13,E 2
3047.5 6,,2759.0 6,100,E 2
3064.8 3,,2628.7 5,70 12,E 2
3064.8 3,,2628.7 5,100 11,E 2
3064.8 3,,3006.2 3,70 12,E 2
3064.8 3,,3006.2 3,100 11,E 2
3077.06 25,,2641.29 24,100,E 2
3084.6 4,,3084.8 6,100,E 2
3096.35 9,,2357.51 8,100,E 2
3108 10,7+,nan,nan,E 2
3114.1 6,"3,4",2836.8 6,100,E 2
3121.4 4,,2831.7 13,44 19,E 2
3121.4 4,,2831.7 13,100 12,E 2
3121.4 4,,3121.4 4,44 19,E 2
3121.4 4,,3121.4 4,100 12,E 2
3132.2 3,,2346.4 6,100,E 2
3141.47 13,,1924.59 12,100,E 2
3155.49 19,,2866.4 7,42 11,E 2
3155.49 19,,2866.4 7,100 7,E 2
3155.49 19,,2866.4 7,23 7,E 2
3155.49 19,,3096.92 20,42 11,E 2
3155.49 19,,3096.92 20,100 7,E 2
3155.49 19,,3096.92 20,23 7,E 2
3155.49 19,,3154.1 10,42 11,E 2
3155.49 19,,3154.1 10,100 7,E 2
3155.49 19,,3154.1 10,23 7,E 2
3162.7 3,,602.711 25,100,E 2
3186.6 4,"3-,4-",3127.9 4,100,E 2
3191.00 8,,827.03 7,100,E 2
3199.3 9,,nan,nan,E 2
3203.22 13,,972.50 15,56 3,E 2
3203.22 13,,972.50 15,100 8,E 2
3203.22 13,,2926.31 17,56 3,E 2
3203.22 13,,2926.31 17,100 8,E 2
3216.24 18,,3216.15 18,100,E 2
3238.5 3,,nan,nan,E 2
≈3265,,nan,nan,E 2
3279.46 13,,1246.74 8,100,E 2
3283.81 17,"3,4",2777.5 3,73 8,E 2
3283.81 17,"3,4",2777.5 3,95 8,E 2
3283.81 17,"3,4",2777.5 3,100 15,E 2
3283.81 17,"3,4",2995.30 22,73 8,E 2
3283.81 17,"3,4",2995.30 22,95 8,E 2
3283.81 17,"3,4",2995.30 22,100 15,E 2
3283.81 17,"3,4",3284.0 5,73 8,E 2
3283.81 17,"3,4",3284.0 5,95 8,E 2
3283.81 17,"3,4",3284.0 5,100 15,E 2
≈3314,,nan,nan,E 2
3336.48 24,,2899.8 4,85 11,E 2
3336.48 24,,2899.8 4,1.0E+2 1,E 2
3336.48 24,,3048.5 3,85 11,E 2
3336.48 24,,3048.5 3,1.0E+2 1,E 2
3343.26 18,,2557.49 18,100,E 2
≈3367,,nan,nan,E 2
≈3393,"3-,4-",nan,nan,E 2
3415.51 12,,1334.72 5,100,E 2
≈3436,,nan,nan,E 2
3460.4 3,,3401.7 3,100,E 2
3465.53 21,,1677.89 20,100,E 2
3469 10,7+,nan,nan,E 2
3496.94 24,,nan,nan,E 2
3514.79 23,,829.45 8,100 8,E 2
3514.79 23,,829.45 8,61 14,E 2
3514.79 23,,3513.6 7,100 8,E 2
3514.79 23,,3513.6 7,61 14,E 2
3529 10,,nan,nan,E 2
3560 20,5+,nan,nan,E 2
3562.09 24,,1092.347 22,100.0 24,E 2
3562.09 24,,1092.347 22,13.6 18,E 2
3562.09 24,,3503.7 4,100.0 24,E 2
3562.09 24,,3503.7 4,13.6 18,E 2
3588.98 13,"3-,4-",1839.66 11,100,E 2
3594.92 22,,1612.3 3,17 4,E 2
3594.92 22,,1612.3 3,100 19,E 2
3594.92 22,,1785.94 18,17 4,E 2
3594.92 22,,1785.94 18,100 19,E 2
≈3622,"3-,4-",nan,nan,E 2
3646.6 5,-9,823.33 20,100,E 2
3650.4 4,,2434.5 3,100,E 2
3674 10,7+,nan,nan,E 2
3690.5 7,-9,867.3 5,100,E 2
3696.9 4,,1544.99 12,100,E 2
≈3721,,nan,nan,E 2
3742.44 16,,1023.636 24,100.0 24,E 2
3742.44 16,,1023.636 24,16 3,E 2
3742.44 16,,1023.636 24,11 3,E 2
3742.44 16,,1023.636 24,57 4,E 2
3742.44 16,,1023.636 24,47 4,E 2
3742.44 16,,1542.51 25,100.0 24,E 2
3742.44 16,,1542.51 25,16 3,E 2
3742.44 16,,1542.51 25,11 3,E 2
3742.44 16,,1542.51 25,57 4,E 2
3742.44 16,,1542.51 25,47 4,E 2
3742.44 16,,1910.4 4,100.0 24,E 2
3742.44 16,,1910.4 4,16 3,E 2
3742.44 16,,1910.4 4,11 3,E 2
3742.44 16,,1910.4 4,57 4,E 2
3742.44 16,,1910.4 4,47 4,E 2
3742.44 16,,1933.72 8,100.0 24,E 2
3742.44 16,,1933.72 8,16 3,E 2
3742.44 16,,1933.72 8,11 3,E 2
3742.44 16,,1933.72 8,57 4,E 2
3742.44 16,,1933.72 8,47 4,E 2
3742.44 16,,3454.0 3,100.0 24,E 2
3742.44 16,,3454.0 3,16 3,E 2
3742.44 16,,3454.0 3,11 3,E 2
3742.44 16,,3454.0 3,57 4,E 2
3742.44 16,,3454.0 3,47 4,E 2
3780 20,7+,nan,nan,E 2
3797.98 17,,2158.12 17,100 11,E 2
3797.98 17,,2158.12 17,47 13,E 2
3797.98 17,,3290.3 13,100 11,E 2
3797.98 17,,3290.3 13,47 13,E 2
3827.6 3,,1059.50 10,68 6,E 2
3827.6 3,,1059.50 10,100 13,E 2
3827.6 3,,3320.6 4,68 6,E 2
3827.6 3,,3320.6 4,100 13,E 2
3841.2 6,-9,1017.94,100,E 2
3871.1 6,"3-,4-",3328.2 6,100,E 2
3914.8 8,,3407.9 9,100 25,E 2
3914.8 8,,3407.9 9,39 19,E 2
3914.8 8,,3639.6 17,100 25,E 2
3914.8 8,,3639.6 17,39 19,E 2
3928.0 9,,2720.1 9,100,E 2
≈3949,,nan,nan,E 2
≈3987,,nan,nan,E 2
≈4005?,"3-,4-",nan,nan,E 2
4012.16 16,"3,4",1075.67 7,100,E 2
≈4024,,nan,nan,E 2
4040 30,7+,nan,nan,E 2
≈4049,,nan,nan,E 2
≈4067,"3-,4-",nan,nan,E 2
≈4085,,nan,nan,E 2
4100.97 21,,968.74 22,21 5,E 2
4100.97 21,,968.74 22,100 7,E 2
4100.97 21,,968.74 22,26 6,E 2
4100.97 21,,3823.54 23,21 5,E 2
4100.97 21,,3823.54 23,100 7,E 2
4100.97 21,,3823.54 23,26 6,E 2
4100.97 21,,4043.6 8,21 5,E 2
4100.97 21,,4043.6 8,100 7,E 2
4100.97 21,,4043.6 8,26 6,E 2
4112.5 4,,4112.3 4,100,E 2
≈4134,,nan,nan,E 2
4156.57 18,"3-,4-",nan,nan,E 2
≈4166,,nan,nan,E 2
4194.0 4,,3651.1 5,73 12,E 2
4194.0 4,,3651.1 5,100 14,E 2
4194.0 4,,3758.1 5,73 12,E 2
4194.0 4,,3758.1 5,100 14,E 2
≈4206?,,nan,nan,E 2
4212.8 7,"3,4",3669.9 7,100,E 2
4253.9 3,,3248.0 3,100,E 2
4270.02 24,"3-,4-",2482.35 23,100,E 2
4277.0 6,-10,435.76 20,12 4,E 2
4277.0 6,-10,435.76 20,100 4,E 2
4277.0 6,-10,630.37 10,12 4,E 2
4277.0 6,-10,630.37 10,100 4,E 2
4280 30,,nan,nan,E 2
4292.05 12,,1195.69 8,38.7 25,E 2
4292.05 12,,1195.69 8,100 7,E 2
4292.05 12,,3677.38 25,38.7 25,E 2
4292.05 12,,3677.38 25,100 7,E 2
4297.8 4,,2789.4 4,100,E 2
≈4307,,nan,nan,E 2
≈4325,,nan,nan,E 2
≈4341,,nan,nan,E 2
≈4365,"3-,4-",nan,nan,E 2
≈4390,"3-,4-",nan,nan,E 2
≈4408,,nan,nan,E 2
≈4420,,nan,nan,E 2
≈4452,,nan,nan,E 2
4485 10,,nan,nan,E 2
≈4507?,,nan,nan,E 2
4514.0 4,,1429.31 14,55 6,E 2
4514.0 4,,1429.31 14,100 6,E 2
4514.0 4,,1429.31 14,36 7,E 2
4514.0 4,,1704.21 7,55 6,E 2
4514.0 4,,1704.21 7,100 6,E 2
4514.0 4,,1704.21 7,36 7,E 2
4514.0 4,,2661.1 4,55 6,E 2
4514.0 4,,2661.1 4,100 6,E 2
4514.0 4,,2661.1 4,36 7,E 2
≈4523?,,nan,nan,E 2
4540.7 12,,3997.7 12,100,E 2
4550 30,7+,nan,nan,E 2
≈4563,,nan,nan,E 2
≈4594?,,nan,nan,E 2
4600.97 17,,3815.06 17,100 6,E 2
4600.97 17,,3815.06 17,47 6,E 2
4600.97 17,,4312.8 4,100 6,E 2
4600.97 17,,4312.8 4,47 6,E 2
≈4610?,,nan,nan,E 2
≈4626,,nan,nan,E 2
≈4668,,nan,nan,E 2
≈4698,"3-,4-",nan,nan,E 2
4700 30,7+,nan,nan,E 2
≈4713,,nan,nan,E 2
4752.33 12,,2399.6 3,19.0 25,E 2
4752.33 12,,2399.6 3,100 5,E 2
4752.33 12,,2399.6 3,5.9 15,E 2
4752.33 12,,3966.60 11,19.0 25,E 2
4752.33 12,,3966.60 11,100 5,E 2
4752.33 12,,3966.60 11,5.9 15,E 2
4752.33 12,,4245.3 9,19.0 25,E 2
4752.33 12,,4245.3 9,100 5,E 2
4752.33 12,,4245.3 9,5.9 15,E 2
≈4773,,nan,nan,E 2
≈4786,,nan,nan,E 2
4800 30,7+,nan,nan,E 2
4800.1 3,"3-,4-",1998.48 14,1.0E+2 1,E 2
4800.1 3,"3-,4-",1998.48 14,44 8,E 2
4800.1 3,"3-,4-",1998.48 14,40 5,E 2
4800.1 3,"3-,4-",3349.2 6,1.0E+2 1,E 2
4800.1 3,"3-,4-",3349.2 6,44 8,E 2
4800.1 3,"3-,4-",3349.2 6,40 5,E 2
4800.1 3,"3-,4-",4799.5 4,1.0E+2 1,E 2
4800.1 3,"3-,4-",4799.5 4,44 8,E 2
4800.1 3,"3-,4-",4799.5 4,40 5,E 2
4811.3 5,,3302.9 5,100,E 2
4827.5 7,-11,550.5 4,100,E 2
≈4841,,nan,nan,E 2
≈4864,,nan,nan,E 2
4874.2 9,,3493.1 9,100,E 2
≈4893,,nan,nan,E 2
≈4917,"3-,4-",nan,nan,E 2
≈4932,,nan,nan,E 2
≈4965,,nan,nan,E 2
≈4980,,nan,nan,E 2
≈4995,,nan,nan,E 2
≈5014,,nan,nan,E 2
≈5031,,nan,nan,E 2
≈5057,,nan,nan,E 2
≈5083,,nan,nan,E 2
≈5098,,nan,nan,E 2
≈5113,,nan,nan,E 2
≈5133,,nan,nan,E 2
≈5146,,nan,nan,E 2
5160.8 6,-11,883.79 11,100,E 2
≈5189,,nan,nan,E 2
≈5202,,nan,nan,E 2
≈5243,,nan,nan,E 2
≈5271,,nan,nan,E 2
≈5291,,nan,nan,E 2
≈5306,,nan,nan,E 2
≈5326,,nan,nan,E 2
≈5350,,nan,nan,E 2
≈5372,,nan,nan,E 2
≈5394,,nan,nan,E 2
≈5411,,nan,nan,E 2
≈5424,,nan,nan,E 2
≈5440,,nan,nan,E 2
≈5456,,nan,nan,E 2
≈5471,,nan,nan,E 2
≈5488,,nan,nan,E 2
≈5529,,nan,nan,E 2
≈5545,,nan,nan,E 2
≈5560,,nan,nan,E 2
5575.6 8,,748.1 3,100,E 2
≈5591,,nan,nan,E 2
≈5610,,nan,nan,E 2
≈5638,,nan,nan,E 2
≈5655,,nan,nan,E 2
≈5670,,nan,nan,E 2
≈5684,,nan,nan,E 2
≈5705,,nan,nan,E 2
≈5731,,nan,nan,E 2
≈5750,,nan,nan,E 2
≈5773,,nan,nan,E 2
≈5809,,nan,nan,E 2
≈5822,,nan,nan,E 2
≈5838,,nan,nan,E 2
≈5852,,nan,nan,E 2
≈5871,,nan,nan,E 2
≈5889,,nan,nan,E 2
≈5928,,nan,nan,E 2
≈5943,,nan,nan,E 2
≈5955,,nan,nan,E 2
≈5973,,nan,nan,E 2
≈5987,,nan,nan,E 2
≈5999,,nan,nan,E 2
≈6013,,nan,nan,E 2
≈6027,,nan,nan,E 2
≈6047,,nan,nan,E 2
≈6066,,nan,nan,E 2
≈6088,,nan,nan,E 2
≈6104,,nan,nan,E 2
≈6129,,nan,nan,E 2
≈6146,,nan,nan,E 2
≈6165,,nan,nan,E 2
≈6180,,nan,nan,E 2
≈6198,,nan,nan,E 2
6417 1,-12,1256.2 8,100,E 2
7.05E+3 5,,nan,nan,E 2
7491.92 8 S,"3-,4-",nan,nan,E 2
≈7514,,nan,nan,E 2
7.79E+3 4,,nan,nan,E 2
8122.4 17,-13,2546.8 15,100,E 2
8.69E+3 15,,nan,nan,E 2
,,nan,nan,E 2
E(level)(keV),T1/2(level),Multipolarity,MixingRatio,E 2
58.59,"10.467 m 6 , % IT = 99.75 3, % β- = 0.25 3",M3+(E4),0.02 LT,E 2
277.2,,(M1+E2),nan,E 2
288.4,,(M1+E2),nan,E 2
435.71,,(M1+E2),nan,E 2
5+,435.71 5,nan,0.0017,E 2
506.2,,(M1+E2),nan,E 2
542.82,,(M1+E2),nan,E 2
614.55,,(M1+E2),nan,E 2
785.71,< 3.2 ps,(M1+E2),nan,E 2
4+,785.724 10,nan,0.00035,E 2
1800.22,1.7 ps +14-6,[E1],nan,E 2
,,nan,nan,E 2
E(level),T1/2(level),nan,nan,E 2
1216.45,0.28 ps +21-14,nan,nan,E 2
1379.74,0.7 ps 3,nan,nan,E 2
1510,,nan,nan,E 2
2363.96,,nan,nan,E 2
3108,,nan,nan,E 2
3469,,nan,nan,E 2
3529,,nan,nan,E 2
3674,,nan,nan,E 2
3780,,nan,nan,E 2
4040,,nan,nan,E 2
4156.57,,nan,nan,E 2
4365,,nan,nan,E 2
4485,,nan,nan,E 2
4507,,nan,nan,E 2
4523,,nan,nan,E 2
4550,,nan,nan,E 2
4594,,nan,nan,E 2
4610,,nan,nan,E 2
4698,,nan,nan,E 2
4700,,nan,nan,E 2
4800,,nan,nan,E 2
7491.92,,nan,nan,E 2
7514,,nan,nan,E 2