E(level)(keV),JPi(level),E()(keV),I(),M(),BandName,BandNum,Z
0,0+,nan,nan,E 2,Hf166,18,72
158.64 5,2+,158.64 4,100 0,E 2,,,
470.46 6,4+,311.87 5,100 0,E 2,,,
809.96 6,(2+),651.26 5,93.6 20,E 2,,,
809.96 6,(2+),651.26 5,100 9,E 2,,,
809.96 6,(2+),810.0 3,93.6 20,E 2,,,
809.96 6,(2+),810.0 3,100 9,E 2,,,
897.17 12,6+,426.7 1,100 0,E 2,,,
1007.16 6,(3+),536.81 7,15.7 16,E 2,,,
1007.16 6,(3+),536.81 7,100 7,E 2,,,
1007.16 6,(3+),848.41 6,15.7 16,E 2,,,
1007.16 6,(3+),848.41 6,100 7,E 2,,,
1064.99 10,(0+),906.35 9,100 0,E 2,,,
1162.70 8,nan,692.23 6,100 0,E 2,,,
1218.76 8,2+,748.25 7,100 7,E 2,,,
1218.76 8,2+,748.25 7,77 10,E 2,,,
1218.76 8,2+,748.25 7,33 13,E 2,,,
1218.76 8,2+,1060.2 1,100 7,E 2,,,
1218.76 8,2+,1060.2 1,77 10,E 2,,,
1218.76 8,2+,1060.2 1,33 13,E 2,,,
1218.76 8,2+,1218.8 3,100 7,E 2,,,
1218.76 8,2+,1218.8 3,77 10,E 2,,,
1218.76 8,2+,1218.8 3,33 13,E 2,,,
1332.41 7,(2+,861.97 7,92 5,E 2,,,
1332.41 7,(2+,861.97 7,100 7,E 2,,,
1332.41 7,(2+,1173.74 7,92 5,E 2,,,
1332.41 7,(2+,1173.74 7,100 7,E 2,,,
1332.41 7,3,861.97 7,92 5,E 2,,,
1332.41 7,3,861.97 7,100 7,E 2,,,
1332.41 7,3,1173.74 7,92 5,E 2,,,
1332.41 7,3,1173.74 7,100 7,E 2,,,
1332.41 7,4+),861.97 7,92 5,E 2,,,
1332.41 7,4+),861.97 7,100 7,E 2,,,
1332.41 7,4+),1173.74 7,92 5,E 2,,,
1332.41 7,4+),1173.74 7,100 7,E 2,,,
1404.85 7,nan,397.6 1,51 5,E 2,,,
1404.85 7,nan,397.6 1,100 16,E 2,,,
1404.85 7,nan,397.6 1,95 5,E 2,,,
1404.85 7,nan,594.65 10,51 5,E 2,,,
1404.85 7,nan,594.65 10,100 16,E 2,,,
1404.85 7,nan,594.65 10,95 5,E 2,,,
1404.85 7,nan,1246.37 7,51 5,E 2,,,
1404.85 7,nan,1246.37 7,100 16,E 2,,,
1404.85 7,nan,1246.37 7,95 5,E 2,,,
1406.4 6,8+,509.5 3,100 0,E 2,,,
1418.9 14,(5+),413,,E 2,,,
1418.9 14,(5+),413,,E 2,,,
1418.9 14,(5+),949,,E 2,,,
1418.9 14,(5+),949,,E 2,,,
1466.3 6,(5-),995.8 10,100 0,E 2,,,
1551.39 10,(4-),544.27 10,59 11,E 2,,,
1551.39 10,(4-),544.27 10,100 13,E 2,,,
1551.39 10,(4-),1080.86 12,59 11,E 2,,,
1551.39 10,(4-),1080.86 12,100 13,E 2,,,
1603.05 21,(2+,1132.75 11,100 12,E 2,,,
1603.05 21,(2+,1132.75 11,92 4,E 2,,,
1603.05 21,(2+,1444.4 2,100 12,E 2,,,
1603.05 21,(2+,1444.4 2,92 4,E 2,,,
1603.05 21,3,1132.75 11,100 12,E 2,,,
1603.05 21,3,1132.75 11,92 4,E 2,,,
1603.05 21,3,1444.4 2,100 12,E 2,,,
1603.05 21,3,1444.4 2,92 4,E 2,,,
1603.05 21,4+),1132.75 11,100 12,E 2,,,
1603.05 21,4+),1132.75 11,92 4,E 2,,,
1603.05 21,4+),1444.4 2,100 12,E 2,,,
1603.05 21,4+),1444.4 2,92 4,E 2,,,
1726.3 6,(7-),259,,E 2,,,
1726.3 6,(7-),259,,E 2,,,
1726.3 6,(7-),259,100 0,E 2,,,
1726.3 6,(7-),320,,E 2,,,
1726.3 6,(7-),320,,E 2,,,
1726.3 6,(7-),320,100 0,E 2,,,
1726.3 6,(7-),829.3 3,,E 2,,,
1726.3 6,(7-),829.3 3,,E 2,,,
1726.3 6,(7-),829.3 3,100 0,E 2,,,
1841.1 6,(6-),289.2 3,34 7,E 2,,,
1841.1 6,(6-),289.2 3,100 10,E 2,,,
1841.1 6,(6-),289.2 3,,E 2,,,
1841.1 6,(6-),289.2 3,90 10,E 2,,,
1841.1 6,(6-),374.7 3,34 7,E 2,,,
1841.1 6,(6-),374.7 3,100 10,E 2,,,
1841.1 6,(6-),374.7 3,,E 2,,,
1841.1 6,(6-),374.7 3,90 10,E 2,,,
1841.1 6,(6-),421,34 7,E 2,,,
1841.1 6,(6-),421,100 10,E 2,,,
1841.1 6,(6-),421,,E 2,,,
1841.1 6,(6-),421,90 10,E 2,,,
1841.1 6,(6-),944.3 3,34 7,E 2,,,
1841.1 6,(6-),944.3 3,100 10,E 2,,,
1841.1 6,(6-),944.3 3,,E 2,,,
1841.1 6,(6-),944.3 3,90 10,E 2,,,
1971.9 6,10+,565.5 3,100 0,E 2,,,
2078.5 6,(9-),352.2 3,28 3,E 2,,,
2078.5 6,(9-),352.2 3,100 5,E 2,,,
2078.5 6,(9-),672.2 3,28 3,E 2,,,
2078.5 6,(9-),672.2 3,100 5,E 2,,,
2197.3 6,(8-),356.3 3,100 10,E 2,,,
2197.3 6,(8-),356.3 3,80 8,E 2,,,
2197.3 6,(8-),471.0 3,100 10,E 2,,,
2197.3 6,(8-),471.0 3,80 8,E 2,,,
2376.5 16,(8-),537,nan,E 2,,,
2496.7 6,(11-),418.1 3,100 10,E 2,,,
2496.7 6,(11-),418.1 3,62 6,E 2,,,
2496.7 6,(11-),524.7 3,100 10,E 2,,,
2496.7 6,(11-),524.7 3,62 6,E 2,,,
2539.7 6,(10-),342.5 3,100 10,E 2,,,
2539.7 6,(10-),342.5 3,87 9,E 2,,,
2539.7 6,(10-),461.2 3,100 10,E 2,,,
2539.7 6,(10-),461.2 3,87 9,E 2,,,
2565.8 7,12+,594.0 3,100 0,E 2,,,
2680.1 16,(10-),304,,E 2,,,
2680.1 16,(10-),304,,E 2,,,
2680.1 16,(10-),484,,E 2,,,
2680.1 16,(10-),484,,E 2,,,
2734.6 7,12+,168,,E 2,,,
2734.6 7,12+,168,100 0,E 2,,,
2734.6 7,12+,762.7 3,,E 2,,,
2734.6 7,12+,762.7 3,100 0,E 2,,,
2793.1 18,(11-),716,100 0,E 2,,,
2910.9 6,(12-),371.3 3,100 10,E 2,,,
2910.9 6,(12-),371.3 3,47 4,E 2,,,
2910.9 6,(12-),414.0 3,100 10,E 2,,,
2910.9 6,(12-),414.0 3,47 4,E 2,,,
2962.2 7,(13-),396.4 3,8.2 16,E 2,,,
2962.2 7,(13-),396.4 3,100 5,E 2,,,
2962.2 7,(13-),465.4 3,8.2 16,E 2,,,
2962.2 7,(13-),465.4 3,100 5,E 2,,,
3009.2 7,14+,274.6 3,22.3 24,E 2,,,
3009.2 7,14+,274.6 3,22.3 24,E 2,,,
3009.2 7,14+,274.6 3,100 5,E 2,,,
3009.2 7,14+,274.6 3,100 5,E 2,,,
3009.2 7,14+,443.4 3,22.3 24,E 2,,,
3009.2 7,14+,443.4 3,22.3 24,E 2,,,
3009.2 7,14+,443.4 3,100 5,E 2,,,
3009.2 7,14+,443.4 3,100 5,E 2,,,
3023.9 18,(12+),460,,E 2,,,
3023.9 18,(12+),460,,E 2,,,
3023.9 18,(12+),1054,,E 2,,,
3023.9 18,(12+),1054,,E 2,,,
3085.8 17,(12-),406,,E 2,,,
3085.8 17,(12-),406,,E 2,,,
3085.8 17,(12-),547,,E 2,,,
3085.8 17,(12-),547,,E 2,,,
3211.1 7,14(+),645.3 3,100 0,E 2,,,
3231.4 18,(13-),438,,E 2,,,
3231.4 18,(13-),438,,E 2,,,
3231.4 18,(13-),737,,E 2,,,
3231.4 18,(13-),737,,E 2,,,
3375.1 7,(14-),413,,E 2,,,
3375.1 7,(14-),413,100 0,E 2,,,
3375.1 7,(14-),464.2 3,,E 2,,,
3375.1 7,(14-),464.2 3,100 0,E 2,,,
3449.0 8,16+,439.8 3,100 0,E 2,,,
3472.6 7,(15-),261,,E 2,,,
3472.6 7,(15-),261,100 0,E 2,,,
3472.6 7,(15-),510.4 3,,E 2,,,
3472.6 7,(15-),510.4 3,100 0,E 2,,,
3515.8 18,(14+),492,,E 2,,,
3515.8 18,(14+),492,,E 2,,,
3515.8 18,(14+),952,,E 2,,,
3515.8 18,(14+),952,,E 2,,,
3585.6 18,(14-),500,100 0,E 2,,,
3779.4 18,(15-),548,,E 2,,,
3779.4 18,(15-),548,,E 2,,,
3779.4 18,(15-),819,,E 2,,,
3779.4 18,(15-),819,,E 2,,,
3817.4 20,(15-),811,nan,E 2,,,
3835.2 8,(16+),624,100 0,E 2,,,
3920.3 8,(16-),448,,E 2,,,
3920.3 8,(16-),448,100 0,E 2,,,
3920.3 8,(16-),545.2 3,,E 2,,,
3920.3 8,(16-),545.2 3,100 0,E 2,,,
3972.1 20,(15-),965,100 0,E 2,,,
4009.2 8,18+,560.2 3,100 0,E 2,,,
4030.1 8,(17-),557.5 3,100 0,E 2,,,
4064.7 19,(16+),549,,E 2,,,
4064.7 19,(16+),549,,E 2,,,
4064.7 19,(16+),856,,E 2,,,
4064.7 19,(16+),856,,E 2,,,
4163.5 19,(16-),578,100 0,E 2,,,
4228.5 19,(16-),643,100 0,E 2,,,
4374.0 20,(17-),557,,E 2,,,
4374.0 20,(17-),557,,E 2,,,
4374.0 20,(17-),927,,E 2,,,
4374.0 20,(17-),927,,E 2,,,
4400.4 21,(17-),621,100 0,E 2,,,
4443.4 20,(17-),471,,E 2,,,
4443.4 20,(17-),471,,E 2,,,
4443.4 20,(17-),997,,E 2,,,
4443.4 20,(17-),997,,E 2,,,
4445.4 20,(14-),nan,nan,E 2,,,
4459.3 9,(18+),623,100 0,E 2,,,
4516.0 8,(18-),595.7 3,100 0,E 2,,,
4582.0 19,(15-),137,,E 2,,,
4582.0 19,(15-),137,,E 2,,,
4582.0 19,(15-),137,,E 2,,,
4582.0 19,(15-),1373,,E 2,,,
4582.0 19,(15-),1373,,E 2,,,
4582.0 19,(15-),1373,,E 2,,,
4582.0 19,(15-),1575,,E 2,,,
4582.0 19,(15-),1575,,E 2,,,
4582.0 19,(15-),1575,,E 2,,,
4625.2 9,(19-),595.1 3,100 0,E 2,,,
4641.4 19,(18-),413,,E 2,,,
4641.4 19,(18-),413,,E 2,,,
4641.4 19,(18-),413,,E 2,,,
4641.4 19,(18-),478,,E 2,,,
4641.4 19,(18-),478,,E 2,,,
4641.4 19,(18-),478,,E 2,,,
4641.4 19,(18-),723,,E 2,,,
4641.4 19,(18-),723,,E 2,,,
4641.4 19,(18-),723,,E 2,,,
4671.0 9,20+,661.8 3,100 0,E 2,,,
4677.4 20,(18+),613,,E 2,,,
4677.4 20,(18+),613,,E 2,,,
4677.4 20,(18+),844,,E 2,,,
4677.4 20,(18+),844,,E 2,,,
4744.9 19,(16-),163,,E 2,,,
4744.9 19,(16-),163,,E 2,,,
4744.9 19,(16-),163,,E 2,,,
4744.9 19,(16-),299,,E 2,,,
4744.9 19,(16-),299,,E 2,,,
4744.9 19,(16-),299,,E 2,,,
4744.9 19,(16-),1298,,E 2,,,
4744.9 19,(16-),1298,,E 2,,,
4744.9 19,(16-),1298,,E 2,,,
4823.5 22,(18-),660,100 0,E 2,,,
4937.1 19,(17-),192,,E 2,,,
4937.1 19,(17-),192,,E 2,,,
4937.1 19,(17-),192,,E 2,,,
4937.1 19,(17-),355,,E 2,,,
4937.1 19,(17-),355,,E 2,,,
4937.1 19,(17-),355,,E 2,,,
4937.1 19,(17-),1491,,E 2,,,
4937.1 19,(17-),1491,,E 2,,,
4937.1 19,(17-),1491,,E 2,,,
5005.6 20,(19-),562,,E 2,,,
5005.6 20,(19-),562,,E 2,,,
5005.6 20,(19-),562,,E 2,,,
5005.6 20,(19-),632,,E 2,,,
5005.6 20,(19-),632,,E 2,,,
5005.6 20,(19-),632,,E 2,,,
5005.6 20,(19-),999,,E 2,,,
5005.6 20,(19-),999,,E 2,,,
5005.6 20,(19-),999,,E 2,,,
5031.3 20,(19-),588,,E 2,,,
5031.3 20,(19-),588,,E 2,,,
5031.3 20,(19-),588,,E 2,,,
5031.3 20,(19-),657,,E 2,,,
5031.3 20,(19-),657,,E 2,,,
5031.3 20,(19-),657,,E 2,,,
5031.3 20,(19-),1025,,E 2,,,
5031.3 20,(19-),1025,,E 2,,,
5031.3 20,(19-),1025,,E 2,,,
5071.4 23,(19-),671,100 0,E 2,,,
5086.9 22,(19-),1059,100 0,E 2,,,
5089.6 9,(20-),573.6 3,100 0,E 2,,,
5121.7 9,(20+),662.3 3,100 0,E 2,,,
5157.5 21,(19+),1151,100 0,E 2,,,
5160.0 20,(18-),223,,E 2,,,
5160.0 20,(18-),223,,E 2,,,
5160.0 20,(18-),223,,E 2,,,
5160.0 20,(18-),415,,E 2,,,
5160.0 20,(18-),415,,E 2,,,
5160.0 20,(18-),415,,E 2,,,
5160.0 20,(18-),1153,,E 2,,,
5160.0 20,(18-),1153,,E 2,,,
5160.0 20,(18-),1153,,E 2,,,
5214.3 20,(20-),573,,E 2,,,
5214.3 20,(20-),573,,E 2,,,
5214.3 20,(20-),700,,E 2,,,
5214.3 20,(20-),700,,E 2,,,
5253.3 9,(21-),628.1 3,100 0,E 2,,,
5313.0 21,(20+),636,,E 2,,,
5313.0 21,(20+),636,,E 2,,,
5313.0 21,(20+),856,,E 2,,,
5313.0 21,(20+),856,,E 2,,,
5409.9 9,22+,738.9 3,100 0,E 2,,,
5410.0 21,(19-),250,,E 2,,,
5410.0 21,(19-),250,,E 2,,,
5410.0 21,(19-),473,,E 2,,,
5410.0 21,(19-),473,,E 2,,,
5510.5 24,(20-),687,100 0,E 2,,,
5665.9 23,(21-),579,,E 2,,,
5665.9 23,(21-),579,,E 2,,,
5665.9 23,(21-),1043,,E 2,,,
5665.9 23,(21-),1043,,E 2,,,
5672.7 22,(21-),667,100 0,E 2,,,
5678.8 9,(22-),589.2 3,100 0,E 2,,,
5687.1 21,(20-),277,,E 2,,,
5687.1 21,(20-),277,,E 2,,,
5687.1 21,(20-),527,,E 2,,,
5687.1 21,(20-),527,,E 2,,,
5720.4 21,(21-),689,,E 2,,,
5720.4 21,(21-),689,,E 2,,,
5720.4 21,(21-),1052,,E 2,,,
5720.4 21,(21-),1052,,E 2,,,
5784.4 25,(21-),713,100 0,E 2,,,
5798.5 21,(21+),641,,E 2,,,
5798.5 21,(21+),641,,E 2,,,
5798.5 21,(21+),1130,,E 2,,,
5798.5 21,(21+),1130,,E 2,,,
5851.7 10,(22+),730.0 3,100 0,E 2,,,
5851.7 10,(22+),730.0 3,,E 2,,,
5851.7 10,(22+),1180,100 0,E 2,,,
5851.7 10,(22+),1180,,E 2,,,
5897.3 22,(22-),683,nan,E 2,,,
5926.9 10,(23-),673.6 3,100 0,E 2,,,
5986.0 23,(22+),673,,E 2,,,
5986.0 23,(22+),673,,E 2,,,
5986.0 23,(22+),867?,,E 2,,,
5986.0 23,(22+),867?,,E 2,,,
5987.8 22,(21-),301,,E 2,,,
5987.8 22,(21-),301,,E 2,,,
5987.8 22,(21-),578,,E 2,,,
5987.8 22,(21-),578,,E 2,,,
6201.2 10,24+,791.3 3,100 0,E 2,,,
6243 3,(22-),733,100 0,E 2,,,
6310.6 22,(22-),323,,E 2,,,
6310.6 22,(22-),323,,E 2,,,
6310.6 22,(22-),623,,E 2,,,
6310.6 22,(22-),623,,E 2,,,
6331.0 24,(23-),665,,E 2,,,
6331.0 24,(23-),665,,E 2,,,
6331.0 24,(23-),1080,,E 2,,,
6331.0 24,(23-),1080,,E 2,,,
6356.4 10,(24-),677.6 3,100 0,E 2,,,
6385.7 25,(23-),713,100 0,E 2,,,
6441.4 23,(23-),721,100 0,E 2,,,
6531 3,(23-),747,100 0,E 2,,,
6536.5 24,(23+),738,100 0,E 2,,,
6615.0 22,(24+),766,,E 2,,,
6615.0 22,(24+),766,,E 2,,,
6615.0 22,(24+),1208,,E 2,,,
6615.0 22,(24+),1208,,E 2,,,
6641.3 24,(24-),744,100 0,E 2,,,
6650.6 23,(23-),340,,E 2,,,
6650.6 23,(23-),340,,E 2,,,
6650.6 23,(23-),663,,E 2,,,
6650.6 23,(23-),663,,E 2,,,
6665.5 10,(25-),738.6 3,100 0,E 2,,,
6978 3,(24-),735,100 0,E 2,,,
7006.6 23,(24-),356,,E 2,,,
7006.6 23,(24-),356,,E 2,,,
7006.6 23,(24-),696,,E 2,,,
7006.6 23,(24-),696,,E 2,,,
7030.1 10,26+,828.9 3,100 0,E 2,,,
7078.2 25,(25-),747,,E 2,,,
7078.2 25,(25-),747,,E 2,,,
7078.2 25,(25-),1155,,E 2,,,
7078.2 25,(25-),1155,,E 2,,,
7137.4 10,(26-),781.0 3,100 0,E 2,,,
7145 3,(25-),759,100 0,E 2,,,
7199.4 25,25-,758,100 0,E 2,,,
7314 3,(25-),783,100 0,E 2,,,
7342 3,(25+),806,100 0,E 2,,,
7363.6 23,(25-),357,,E 2,,,
7363.6 23,(25-),357,,E 2,,,
7363.6 23,(25-),713,,E 2,,,
7363.6 23,(25-),713,,E 2,,,
7392.1 23,(26+),777,,E 2,,,
7392.1 23,(26+),777,,E 2,,,
7392.1 23,(26+),1195,,E 2,,,
7392.1 23,(26+),1195,,E 2,,,
7444 3,(26-),803,100 0,E 2,,,
7481.1 11,(27-),815.6 3,100 0,E 2,,,
7713.6 24,(26-),350,,E 2,,,
7713.6 24,(26-),350,,E 2,,,
7713.6 24,(26-),707,,E 2,,,
7713.6 24,(26-),707,,E 2,,,
7770 3,(26-),792,100 0,E 2,,,
7894.7 11,28+,864.6 3,100 0,E 2,,,
7899 3,(27-),821,100 0,E 2,,,
7954 3,(27-),809,100 0,E 2,,,
8007 3,(27-),808,100 0,E 2,,,
8017.3 11,(28-),879.9 3,100 0,E 2,,,
8062.7 24,(27-),349,,E 2,,,
8062.7 24,(27-),349,,E 2,,,
8062.7 24,(27-),699,,E 2,,,
8062.7 24,(27-),699,,E 2,,,
8222.0 25,(28+),830,100 0,E 2,,,
8303 3,(28-),859,100 0,E 2,,,
8375.4 11,(29-),894.3 3,100 0,E 2,,,
8426.4 25,(28-),364,,E 2,,,
8426.4 25,(28-),364,,E 2,,,
8426.4 25,(28-),713,,E 2,,,
8426.4 25,(28-),713,,E 2,,,
8767 3,(29-),868,100 0,E 2,,,
8800.7 15,30+,906 1,100 0,E 2,,,
8808.1 25,(29-),382,,E 2,,,
8808.1 25,(29-),382,,E 2,,,
8808.1 25,(29-),745,,E 2,,,
8808.1 25,(29-),745,,E 2,,,
8817 3,(29-),863,100 0,E 2,,,
8871 3,(29-),864,100 0,E 2,,,
8980.0 15,(30-),962.7 10,100 0,E 2,,,
9116 3,(30+),894,100 0,E 2,,,
9212 3,(30-),404,,E 2,,,
9212 3,(30-),404,,E 2,,,
9212 3,(30-),786,,E 2,,,
9212 3,(30-),786,,E 2,,,
9216 3,(30-),913,100 0,E 2,,,
9337.8 15,(31-),962.4 10,100 0,E 2,,,
9635 3,(31-),423,,E 2,,,
9635 3,(31-),423,,E 2,,,
9635 3,(31-),827,,E 2,,,
9635 3,(31-),827,,E 2,,,
9682 3,(31-),915,100 0,E 2,,,
9734 4,(31-),917,100 0,E 2,,,
9753.5 18,32+,952.7 10,100 0,E 2,,,
9771 3,(31-),900,100 0,E 2,,,
9991.2 18,(32-),1011.2 10,100 0,E 2,,,
10009 3,(32+),893,100 0,E 2,,,
10080 3,(32-),445?,,E 2,,,
10080 3,(32-),445?,,E 2,,,
10080 3,(32-),867?,,E 2,,,
10080 3,(32-),867?,,E 2,,,
10167 4,(32-),951,100 0,E 2,,,
10330 2,(33-),992.5 10,100 0,E 2,,,
10721 4,(33-),987,100 0,E 2,,,
10747.5 21,34+,994 1,100 0,E 2,,,
10933 3,(34+),924,100 0,E 2,,,
10994 4,(34-),1007,100 0,E 2,,,
11298 4,(35-),972,100 0,E 2,,,
11751 4,36+,1009,100 0,E 2,,,
11928 4,(36+),995,100 0,E 2,,,
12005 4,(36-),1011,100 0,E 2,,,
12289 4,(37-),991,100 0,E 2,,,
12762 4,38+,1011,100 0,E 2,,,
13038 4,(38-),1033,100 0,E 2,,,
13328 4,(39-),1039,100 0,E 2,,,
13800 4,40+,1038,100 0,E 2,,,
14096 4,(40-),1058,100 0,E 2,,,
14424 4,(41-),1096,100 0,E 2,,,
14879 4,42+,1079,100 0,E 2,,,
15575 4,(43-),1151?,100 0,E 2,,,
16006 4,(44+),1127?,100 0,E 2,,,
0.0+X,nan,nan,nan,E 2,,,
236.0+X 8,nan,236,100 0,E 2,,,
486.0+X 8,nan,250,,E 2,,,
486.0+X 8,nan,250,,E 2,,,
486.0+X 8,nan,486,,E 2,,,
486.0+X 8,nan,486,,E 2,,,
759.0+X 10,nan,273,,E 2,,,
759.0+X 10,nan,273,,E 2,,,
759.0+X 10,nan,523,,E 2,,,
759.0+X 10,nan,523,,E 2,,,
1064.1+X 11,nan,305,,E 2,,,
1064.1+X 11,nan,305,,E 2,,,
1064.1+X 11,nan,578,,E 2,,,
1064.1+X 11,nan,578,,E 2,,,
1387.7+X 12,nan,323,,E 2,,,
1387.7+X 12,nan,323,,E 2,,,
1387.7+X 12,nan,629,,E 2,,,
1387.7+X 12,nan,629,,E 2,,,
1734.9+X 13,nan,347,,E 2,,,
1734.9+X 13,nan,347,,E 2,,,
1734.9+X 13,nan,671,,E 2,,,
1734.9+X 13,nan,671,,E 2,,,
2095.8+X 13,nan,361,,E 2,,,
2095.8+X 13,nan,361,,E 2,,,
2095.8+X 13,nan,708,,E 2,,,
2095.8+X 13,nan,708,,E 2,,,
2475.9+X 14,nan,380,,E 2,,,
2475.9+X 14,nan,380,,E 2,,,
2475.9+X 14,nan,741,,E 2,,,
2475.9+X 14,nan,741,,E 2,,,
2860.7+X 15,nan,385,,E 2,,,
2860.7+X 15,nan,385,,E 2,,,
2860.7+X 15,nan,765,,E 2,,,
2860.7+X 15,nan,765,,E 2,,,
3256.1+X 15,nan,396,,E 2,,,
3256.1+X 15,nan,396,,E 2,,,
3256.1+X 15,nan,780,,E 2,,,
3256.1+X 15,nan,780,,E 2,,,
3665.0+X 16,nan,409,,E 2,,,
3665.0+X 16,nan,409,,E 2,,,
3665.0+X 16,nan,804,,E 2,,,
3665.0+X 16,nan,804,,E 2,,,
4083.1+X 17,nan,418,,E 2,,,
4083.1+X 17,nan,418,,E 2,,,
4083.1+X 17,nan,827,,E 2,,,
4083.1+X 17,nan,827,,E 2,,,
0.0+Y,nan,nan,nan,E 2,,,
204.0+Y 8,nan,204,100 0,E 2,,,
438.0+Y 8,nan,234,,E 2,,,
438.0+Y 8,nan,234,,E 2,,,
438.0+Y 8,nan,438,,E 2,,,
438.0+Y 8,nan,438,,E 2,,,
697.0+Y 10,nan,259,,E 2,,,
697.0+Y 10,nan,259,,E 2,,,
697.0+Y 10,nan,493,,E 2,,,
697.0+Y 10,nan,493,,E 2,,,
977.0+Y 11,nan,280,,E 2,,,
977.0+Y 11,nan,280,,E 2,,,
977.0+Y 11,nan,539,,E 2,,,
977.0+Y 11,nan,539,,E 2,,,
1274.0+Y 12,nan,297,,E 2,,,
1274.0+Y 12,nan,297,,E 2,,,
1274.0+Y 12,nan,577,,E 2,,,
1274.0+Y 12,nan,577,,E 2,,,
1582.0+Y 13,nan,308,,E 2,,,
1582.0+Y 13,nan,308,,E 2,,,
1582.0+Y 13,nan,605,,E 2,,,
1582.0+Y 13,nan,605,,E 2,,,
1905.0+Y 13,nan,323,,E 2,,,
1905.0+Y 13,nan,323,,E 2,,,
1905.0+Y 13,nan,631,,E 2,,,
1905.0+Y 13,nan,631,,E 2,,,
2240.0+Y 14,nan,335,,E 2,,,
2240.0+Y 14,nan,335,,E 2,,,
2240.0+Y 14,nan,658,,E 2,,,
2240.0+Y 14,nan,658,,E 2,,,
nan,nan,nan,nan,E 2,,,
E(level)(keV),T1/2(level),Multipolarity,ConversionCoefficient,E 2,,,
158.64,497 ps 23,E2,0.636,E 2,,,
470.46,16.4 ps 5,E2,0.0706,E 2,,,
897.17,3.24 ps 19,E2,0.0292,E 2,,,
1064.99,nan,(E2),0.005,E 2,,,
1406.4,1.05 ps 10,E2,0.0185,E 2,,,
1971.9,0.7 ps 5,E2,0.0129,E 2,,,
2078.5,1.7 ps 4,E2,0.0495,E 2,,,
2496.7,nan,(E2),0.0308,E 2,,,
2565.8,0.9 ps 7,E2,0.01271,E 2,,,
2734.6,nan,(E2),0.00721,E 2,,,
2910.9,nan,(E2),0.0427,E 2,,,
2962.2,nan,(E2),0.0232,E 2,,,
3009.2,6.9 ps 7,E2,0.1037,E 2,,,
14+,443.4 3,0.0264,B(E2)(W.u.)=70 7,E 2,,,
14+,443.4 3,0.0264,α=0.0264,E 2,,,
3211.1,nan,(E2),0.01048,E 2,,,
3375.1,nan,(E2),0.0234,E 2,,,
3449,nan,(E2),0.0269,E 2,,,
3472.6,nan,(E2),0.0184,E 2,,,
3920.3,nan,(E2),0.01561,E 2,,,
4009.2,nan,(E2),0.01462,E 2,,,
4030.1,nan,(E2),0.01479,E 2,,,
5253.3,nan,(E2),0.01115,E 2,,,
5409.9,nan,[E2],0.00779,E 2,,,
nan,nan,nan,nan,E 2,,,
E(level),T1/2(level),nan,nan,E 2,,,
0,6.77 m 30,nan,nan,E 2,,,
0,% ε = 100,nan,nan,E 2,,,
158.64,497 ps 23,nan,nan,E 2,,,
470.46,16.4 ps 5,nan,nan,E 2,,,
809.96,nan,nan,nan,E 2,,,
897.17,3.24 ps 19,nan,nan,E 2,,,
