E(level)(keV),JPi(level),E()(keV),I(),M(),BandName,BandNum,H
2014.3 4,29/2+,192.0 3,100 6,E 2,,,
2014.3 4,29/2+,516.2 3,2.2 17,E 2,,,
2014.3 4,29/2+,516.2 3,100 6,E 2,,,
2145.3 6,(25/2-),163.3 3,100 0,E 2,,,
2191.0 4,(25/2-),358.5 3,30 12,E 2,,,
2191.0 4,(25/2-),358.5 3,100 9,E 2,,,
2191.0 4,(25/2-),378.0 3,30 12,E 2,,,
2191.0 4,(25/2-),378.0 3,100 9,E 2,,,
2223.1 5,(25/2+),216.6 3,100 9,E 2,,,
2223.1 5,(25/2+),216.6 3,18 6,E 2,,,
2223.1 5,(25/2+),405.8 3,100 9,E 2,,,
2223.1 5,(25/2+),405.8 3,18 6,E 2,,,
2263.6 5,(27/2-),274 1,6 4,E 2,,,
2263.6 5,(27/2-),274 1,100 3,E 2,,,
2263.6 5,(27/2-),541.3 3,6 4,E 2,,,
2263.6 5,(27/2-),541.3 3,100 3,E 2,,,
2263.6 3,5/2-,2001.3 5,100 25,E 2,,,
2263.6 3,5/2-,2001.3 5,,E 2,,,
2263.6 3,5/2-,2001.3 5,67 17,E 2,,,
2263.6 3,5/2-,2022.7 6,100 25,E 2,,,
2263.6 3,5/2-,2022.7 6,,E 2,,,
2263.6 3,5/2-,2022.7 6,67 17,E 2,,,
2263.6 3,5/2-,2182.0 4,100 25,E 2,,,
2263.6 3,5/2-,2182.0 4,,E 2,,,
2263.6 3,5/2-,2182.0 4,67 17,E 2,,,
2263.6 3,2-Jul,2001.3 5,100 25,E 2,,,
2263.6 3,2-Jul,2001.3 5,,E 2,,,
2263.6 3,2-Jul,2001.3 5,67 17,E 2,,,
2263.6 3,2-Jul,2022.7 6,100 25,E 2,,,
2263.6 3,2-Jul,2022.7 6,,E 2,,,
2263.6 3,2-Jul,2022.7 6,67 17,E 2,,,
2263.6 3,2-Jul,2182.0 4,100 25,E 2,,,
2263.6 3,2-Jul,2182.0 4,,E 2,,,
2263.6 3,2-Jul,2182.0 4,67 17,E 2,,,
2354.2 6,(27/2-),209.1 3,100 13,E 2,,,
2354.2 6,(27/2-),209.1 3,8 3,E 2,,,
2354.2 6,(27/2-),372.0 3,100 13,E 2,,,
2354.2 6,(27/2-),372.0 3,8 3,E 2,,,
2357.9 6,(27/2-),561.5 3,100 0,E 2,,,
2392.7 5,(29/2-),560.1 3,100 0,E 2,,,
2397.8 5,31/2+,383.5 3,5.5 23,E 2,,,
2397.8 5,31/2+,383.5 3,100 11,E 2,,,
2397.8 5,31/2+,575.3 3,5.5 23,E 2,,,
2397.8 5,31/2+,575.3 3,100 11,E 2,,,
2464.8 5,(27/2+),241.7 3,100 29,E 2,,,
2464.8 5,(27/2+),241.7 3,77 13,E 2,,,
2464.8 5,(27/2+),458.4 3,100 29,E 2,,,
2464.8 5,(27/2+),458.4 3,77 13,E 2,,,
2539.4 4,(29/2-),550.0 3,100 0,E 2,,,
2596.2 6,(29/2-),242.0 3,100 19,E 2,,,
2596.2 6,(29/2-),242.0 3,22 4,E 2,,,
2596.2 6,(29/2-),450.8 3,100 19,E 2,,,
2596.2 6,(29/2-),450.8 3,22 4,E 2,,,
2601.6 5,33/2+,203.7 3,1.9 17,E 2,,,
2601.6 5,33/2+,203.7 3,100 10,E 2,,,
2601.6 5,33/2+,587.4 3,1.9 17,E 2,,,
2601.6 5,33/2+,587.4 3,100 10,E 2,,,
2617.6 5,(29/2-),426.6 3,100 0,E 2,,,
2729.3 5,(29/2+),264.4 3,100 17,E 2,,,
2729.3 5,(29/2+),264.4 3,87 15,E 2,,,
2729.3 5,(29/2+),506.1 3,100 17,E 2,,,
2729.3 5,(29/2+),506.1 3,87 15,E 2,,,
2814.7 7,(29/2-),460.5 3,100 0,E 2,,,
2818.3 6,(31/2-),554.7 3,100 0,E 2,,,
2865.5 6,(31/2-),269.2 3,100 20,E 2,,,
2865.5 6,(31/2-),269.2 3,32 5,E 2,,,
2865.5 6,(31/2-),511.3 3,100 20,E 2,,,
2865.5 6,(31/2-),511.3 3,32 5,E 2,,,
2969.6 7,(31/2-),611.7 3,100 0,E 2,,,
3001.5 5,(33/2-),608.8 3,100 0,E 2,,,
3015.0 6,(31/2+),285.7 3,49 9,E 2,,,
3015.0 6,(31/2+),285.7 3,100 13,E 2,,,
3015.0 6,(31/2+),550.3 3,49 9,E 2,,,
3015.0 6,(31/2+),550.3 3,100 13,E 2,,,
3028.2 5,35/2+,426.6 3,7 3,E 2,,,
3028.2 5,35/2+,426.6 3,100 16,E 2,,,
3028.2 5,35/2+,630.4 3,7 3,E 2,,,
3028.2 5,35/2+,630.4 3,100 16,E 2,,,
3070.5 7,(31/2-),255.8 3,100 0,E 2,,,
3094.7 5,(33/2-),555.4 3,100 0,E 2,,,
3105.2 4,(33/2-),487.6 3,63 8,E 2,,,
3105.2 4,(33/2-),487.6 3,100 23,E 2,,,
3105.2 4,(33/2-),565.8 3,63 8,E 2,,,
3105.2 4,(33/2-),565.8 3,100 23,E 2,,,
3159.4 6,(33/2-),293.8 3,100 28,E 2,,,
3159.4 6,(33/2-),293.8 3,45 7,E 2,,,
3159.4 6,(33/2-),563.3 3,100 28,E 2,,,
3159.4 6,(33/2-),563.3 3,45 7,E 2,,,
3251.5 6,37/2+,649.9 3,100 0,E 2,,,
3320.0 6,(33/2+),304.8 3,69 18,E 2,,,
3320.0 6,(33/2+),304.8 3,100 33,E 2,,,
3320.0 6,(33/2+),590.7 3,69 18,E 2,,,
3320.0 6,(33/2+),590.7 3,100 33,E 2,,,
3346.9 7,(33/2-),276.4 3,100 17,E 2,,,
3346.9 7,(33/2-),276.4 3,29 7,E 2,,,
3346.9 7,(33/2-),532.2 3,100 17,E 2,,,
3346.9 7,(33/2-),532.2 3,29 7,E 2,,,
3382.7 6,(35/2-),564.4 3,100 0,E 2,,,
3474.8 6,(35/2-),315.5 3,100 33,E 2,,,
3474.8 6,(35/2-),315.5 3,76 13,E 2,,,
3474.8 6,(35/2-),609.3 3,100 33,E 2,,,
3474.8 6,(35/2-),609.3 3,76 13,E 2,,,
3625.5 7,(35/2-),655.9 3,100 0,E 2,,,
3640.0 5,(37/2-),535 1 ?,≤6,E 2,,,
3640.0 5,(37/2-),535 1 ?,19 8,E 2,,,
3640.0 5,(37/2-),535 1 ?,100 13,E 2,,,
3640.0 5,(37/2-),545.3 3,≤6,E 2,,,
3640.0 5,(37/2-),545.3 3,19 8,E 2,,,
3640.0 5,(37/2-),545.3 3,100 13,E 2,,,
3640.0 5,(37/2-),638.4 3,≤6,E 2,,,
3640.0 5,(37/2-),638.4 3,19 8,E 2,,,
3640.0 5,(37/2-),638.4 3,100 13,E 2,,,
3642.2 7,(35/2-),295.3 3,100 29,E 2,,,
3642.2 7,(35/2-),295.3 3,66 11,E 2,,,
3642.2 7,(35/2-),571.7 3,100 29,E 2,,,
3642.2 7,(35/2-),571.7 3,66 11,E 2,,,
3643.1 6,(35/2+),323.1 3,70 32,E 2,,,
3643.1 6,(35/2+),323.1 3,100 24,E 2,,,
3643.1 6,(35/2+),628.1 3,70 32,E 2,,,
3643.1 6,(35/2+),628.1 3,100 24,E 2,,,
3660.9 5,(37/2-),659.4 3,100 0,E 2,,,
3685.5 5,(37/2-),580.3 3,71 24,E 2,,,
3685.5 5,(37/2-),580.3 3,100 29,E 2,,,
3685.5 5,(37/2-),590.8 3,71 24,E 2,,,
3685.5 5,(37/2-),590.8 3,100 29,E 2,,,
3701.9 6,39/2+,673.7 3,100 0,E 2,,,
3811.1 7,(37/2-),336.3 3,100 30,E 2,,,
3811.1 7,(37/2-),336.3 3,73 15,E 2,,,
3811.1 7,(37/2-),651.8 3,100 30,E 2,,,
3811.1 7,(37/2-),651.8 3,73 15,E 2,,,
3954.5 6,(41/2+),703.0 3,100 0,E 2,,,
3959.0 7,(37/2-),316.8 3,100 34,E 2,,,
3959.0 7,(37/2-),316.8 3,≤17,E 2,,,
3959.0 7,(37/2-),612.1 3 ?,100 34,E 2,,,
3959.0 7,(37/2-),612.1 3 ?,≤17,E 2,,,
3976.6 7,(39/2-),593.9 3,100 0,E 2,,,
3982.6 6,(37/2+),339.6 3,64 21,E 2,,,
3982.6 6,(37/2+),339.6 3,100 43,E 2,,,
3982.6 6,(37/2+),662.5 3,64 21,E 2,,,
3982.6 6,(37/2+),662.5 3,100 43,E 2,,,
4166.1 7,(39/2-),355.0 3,88 42,E 2,,,
4166.1 7,(39/2-),355.0 3,100 29,E 2,,,
4166.1 7,(39/2-),691.3 3 ?,88 42,E 2,,,
4166.1 7,(39/2-),691.3 3 ?,100 29,E 2,,,
4256.4 5,(41/2-),595.4 3,38 8,E 2,,,
4256.4 5,(41/2-),595.4 3,100 31,E 2,,,
4256.4 5,(41/2-),616.4 3,38 8,E 2,,,
4256.4 5,(41/2-),616.4 3,100 31,E 2,,,
4298.9 8,(39/2-),339.9 3,100 0,E 2,,,
4314.0 6,(41/2-),628.5 3,100 0,E 2,,,
4324.6 8,(39/2-),699.0 3,100 0,E 2,,,
4342.6 6,(39/2+),360.0 3,100 29,E 2,,,
4342.6 6,(39/2+),360.0 3,48 24,E 2,,,
4342.6 6,(39/2+),699.5 3,100 29,E 2,,,
4342.6 6,(39/2+),699.5 3,48 24,E 2,,,
4414.6 7,(43/2+),712.7 3,100 0,E 2,,,
4616.2 8,(43/2-),639.6 3,100 0,E 2,,,
4661 2,(41/2-),362 1 ?,100 0,E 2,,,
4703.5 7,(45/2+),749.0 3,100 0,E 2,,,
4717 1,(41/2+),734 1 ?,100 0,E 2,,,
4930.4 6,(45/2-),674.0 3,100 0,E 2,,,
4985 1,(45/2-),671 1,100 0,E 2,,,
5070 2,(43/2-),745 1 ?,100 0,E 2,,,
5166.7 7,(47/2+),752.1 3,100 0,E 2,,,
5312.8 8,(47/2-),696.6 3,100 0,E 2,,,
5493.7 8,(49/2+),790.2 3,100 0,E 2,,,
5664 1,(49/2-),734 1 ?,100 0,E 2,,,
5970.2 8,(51/2+),803.5 3,100 0,E 2,,,
6070.2 9,(51/2-),757.4 3,100 0,E 2,,,
6330.1 8,(53/2+),836.4 3,100 0,E 2,,,
6826.3 8,(55/2+),856.1 3,100 0,E 2,,,
6885 2,(55/2-),815 1,100 0,E 2,,,
7204 2,(57/2+),874 1,100 0,E 2,,,
X,J,nan,nan,E 2,,,
692+X,J+2,692,nan,E 2,,,
1425+X,J+4,733,nan,E 2,,,
2199+X,J+6,774,nan,E 2,,,
3011+X,J+8,812,nan,E 2,,,
3867+X,J+10,856,nan,E 2,,,
4773+X,J+12,906,nan,E 2,,,
5731+X,J+14,958,nan,E 2,,,
6745+X,J+16,1014,nan,E 2,,,
7818+X,J+18,1073,nan,E 2,,,
8953+X,J+20,1135,nan,E 2,,,
10153+X,J+22,1200,nan,E 2,,,
11418+X,J+24,1265,nan,E 2,,,
12751+X,J+26,1333,nan,E 2,,,
14151+X,J+28,1400,nan,E 2,,,
15620+X,J+30,1469,nan,E 2,,,
nan,nan,nan,nan,E 2,,,
E(level)(keV),T1/2(level),Multipolarity,MixingRatio,E 2,,,
69.73,nan,M1+E2,0.88 20,E 2,,,
81.49,nan,E2,nan,E 2,,,
107.16,180 ns 8,M1,nan,E 2,,,
5/2-,37.40 5,0.029 +8-11,12.6,E 2,,,
5/2-,107.2 2,nan,2.73,E 2,,,
197.23,nan,M1+E2,0.23 2,E 2,,,
197.47,160 ns 40,E1,nan,E 2,,,
241.9,nan,M1+E2,0.69 +40-30,E 2,,,
7/2-,172.2 1,nan,0.484,E 2,,,
255.51,nan,M1+E2,0.21 10,E 2,,,
262.14,nan,E2,nan,E 2,,,
312.27,nan,M1+E2,nan,E 2,,,
9/2-,205.3 2,nan,0.266,E 2,,,
435.4,nan,M1+E2,-0.49 3,E 2,,,
13/2+,180.0 3,nan,0.415,E 2,,,
451.5,nan,M1+E2,+0.09 2,E 2,,,
508.6,nan,E2,nan,E 2,,,
536,nan,E2,nan,E 2,,,
567.4,nan,M1+E2,9.79,E 2,,,
15/2+,231.5 3,nan,0.179,E 2,,,
613.7,nan,M1+E2,-0.05 11,E 2,,,
13/2-,301.3 3,nan,0.0788,E 2,,,
704.2,nan,M1+E2,6.75,E 2,,,
17/2+,269.0 3,nan,0.111,E 2,,,
785.3,nan,E1,nan,E 2,,,
"7/2-,9/2-",587.8 2,1.9 +31-7,0.0174,E 2,,,
797.5,nan,(E2),nan,E 2,,,
811.7,nan,M1,nan,E 2,,,
862.2,nan,E2,nan,E 2,,,
895,nan,E2,nan,E 2,,,
896,nan,M1+E2,4.1,E 2,,,
19/2+,328.7 3,nan,0.0609,E 2,,,
942.8,nan,M1+E2,1.9 +34-7,E 2,,,
1002.6,nan,E2,nan,E 2,,,
1060,nan,M1+E2,1.17,E 2,,,
21/2+,355.7 3,nan,0.0485,E 2,,,
1111.4,nan,E1,nan,E 2,,,
1225.8,nan,M1+E2,-0.20 8,E 2,,,
(19/2-),428.3 3,nan,0.0291,E 2,,,
1248.5,nan,M1,nan,E 2,,,
1294.4,nan,E2,nan,E 2,,,
1317.5,nan,E2,nan,E 2,,,
1330.5,nan,E2,nan,E 2,,,
1450.2,nan,E1,nan,E 2,,,
1467.2,nan,E2,nan,E 2,,,
1498.1,nan,E2,nan,E 2,,,
1700.5,≤ 5 ns,E2,nan,E 2,,,
1722.3,nan,E2,nan,E 2,,,
1796.4,nan,(E2),nan,E 2,,,
1817.3,nan,M1+E2,nan,E 2,,,
1822.4,nan,E2,nan,E 2,,,
1832.5,nan,(E2),nan,E 2,,,
1982.1,19.5 ns 6,E1,nan,E 2,,,
1989.5,nan,E2,nan,E 2,,,
2014.3,nan,E2,nan,E 2,,,
2263.6,nan,E2,nan,E 2,,,
2392.7,nan,(E2),nan,E 2,,,
2397.8,nan,E2,nan,E 2,,,
2596.2,nan,(M1+E2),+0.25 4,E 2,,,
2601.6,nan,E2,nan,E 2,,,
2814.7,≤ 3.5 ns,E2,nan,E 2,,,
2818.3,nan,(E2),nan,E 2,,,
3001.5,nan,(E2),nan,E 2,,,
3028.2,nan,E2,nan,E 2,,,
3251.5,nan,E2,nan,E 2,,,
3640,nan,E2,nan,E 2,,,
3685.5,nan,(E2),nan,E 2,,,
3701.9,nan,E2,nan,E 2,,,
nan,nan,nan,nan,E 2,,,
E(level),T1/2(level),nan,nan,E 2,,,
0,23.6 h 1,nan,nan,E 2,,,
0,% ε = 100,nan,nan,E 2,,,
69.73,nan,nan,nan,E 2,,,
81.49,nan,nan,nan,E 2,,,
107.16,180 ns 8,nan,nan,E 2,,,
197.23,nan,nan,nan,E 2,,,
197.47,160 ns 40,nan,nan,E 2,,,
241.9,nan,nan,nan,E 2,,,
255.51,nan,nan,nan,E 2,,,
262.14,nan,nan,nan,E 2,,,
312.27,nan,nan,nan,E 2,,,
336,nan,nan,nan,E 2,,,
435.4,nan,nan,nan,E 2,,,
451.5,nan,nan,nan,E 2,,,
508.6,nan,nan,nan,E 2,,,
536,nan,nan,nan,E 2,,,
567.4,nan,nan,nan,E 2,,,
613.7,nan,nan,nan,E 2,,,
704.2,nan,nan,nan,E 2,,,
797.5,nan,nan,nan,E 2,,,
862.2,nan,nan,nan,E 2,,,
895,nan,nan,nan,E 2,,,
896,nan,nan,nan,E 2,,,
1002.6,nan,nan,nan,E 2,,,
1060,nan,nan,nan,E 2,,,
1078.3,nan,nan,nan,E 2,,,
1208.4,nan,nan,nan,E 2,,,
1225.8,nan,nan,nan,E 2,,,
1294.4,nan,nan,nan,E 2,,,
1317.5,nan,nan,nan,E 2,,,
1330.5,nan,nan,nan,E 2,,,
1355.2,nan,nan,nan,E 2,,,
1467.2,nan,nan,nan,E 2,,,
1473.2,nan,nan,nan,E 2,,,
1498.1,nan,nan,nan,E 2,,,
1521,nan,nan,nan,E 2,,,
1700.5,≤ 5 ns,nan,nan,E 2,,,
1722.3,nan,nan,nan,E 2,,,
1796.4,nan,nan,nan,E 2,,,
1812.9,nan,nan,nan,E 2,,,
1817.3,nan,nan,nan,E 2,,,
1822.4,nan,nan,nan,E 2,,,
1832.5,nan,nan,nan,E 2,,,
1982.1,19.5 ns 6,nan,nan,E 2,,,
1989.5,nan,nan,nan,E 2,,,
2006.5,nan,nan,nan,E 2,,,
2014.3,nan,nan,nan,E 2,,,
2145.3,nan,nan,nan,E 2,,,
2191,nan,nan,nan,E 2,,,
2223.1,nan,nan,nan,E 2,,,
2263.6,nan,nan,nan,E 2,,,
2354.2,nan,nan,nan,E 2,,,
2357.9,nan,nan,nan,E 2,,,
2392.7,nan,nan,nan,E 2,,,
2397.8,nan,nan,nan,E 2,,,
2464.8,nan,nan,nan,E 2,,,
2539.4,nan,nan,nan,E 2,,,
2596.2,nan,nan,nan,E 2,,,
2601.6,nan,nan,nan,E 2,,,
2617.6,nan,nan,nan,E 2,,,
2729.3,nan,nan,nan,E 2,,,
2814.7,≤ 3.5 ns,nan,nan,E 2,,,
2818.3,nan,nan,nan,E 2,,,
2865.5,nan,nan,nan,E 2,,,
2969.6,nan,nan,nan,E 2,,,
3001.5,nan,nan,nan,E 2,,,
3015,nan,nan,nan,E 2,,,
3028.2,nan,nan,nan,E 2,,,
3070.5,nan,nan,nan,E 2,,,
3094.7,nan,nan,nan,E 2,,,
3105.2,nan,nan,nan,E 2,,,
3159.4,nan,nan,nan,E 2,,,
3251.5,nan,nan,nan,E 2,,,
3320,nan,nan,nan,E 2,,,
3346.9,nan,nan,nan,E 2,,,
3382.7,nan,nan,nan,E 2,,,
3474.8,nan,nan,nan,E 2,,,
3625.5,nan,nan,nan,E 2,,,
3640,nan,nan,nan,E 2,,,
3642.2,nan,nan,nan,E 2,,,
3643.1,nan,nan,nan,E 2,,,
3660.9,nan,nan,nan,E 2,,,
3685.5,nan,nan,nan,E 2,,,
3701.9,nan,nan,nan,E 2,,,
3811.1,nan,nan,nan,E 2,,,
3954.5,nan,nan,nan,E 2,,,
3959,nan,nan,nan,E 2,,,
3976.6,nan,nan,nan,E 2,,,
3982.6,nan,nan,nan,E 2,,,
4166.1,nan,nan,nan,E 2,,,
4256.4,nan,nan,nan,E 2,,,
4298.9,nan,nan,nan,E 2,,,
4314,nan,nan,nan,E 2,,,
4324.6,nan,nan,nan,E 2,,,
4342.6,nan,nan,nan,E 2,,,
4414.6,nan,nan,nan,E 2,,,
4616.2,nan,nan,nan,E 2,,,
4661,nan,nan,nan,E 2,,,
4703.5,nan,nan,nan,E 2,,,
4717,nan,nan,nan,E 2,,,
4930.4,nan,nan,nan,E 2,,,
4985,nan,nan,nan,E 2,,,
5070,nan,nan,nan,E 2,,,
5166.7,nan,nan,nan,E 2,,,
5312.8,nan,nan,nan,E 2,,,
5493.7,nan,nan,nan,E 2,,,
5664,nan,nan,nan,E 2,,,
5970.2,nan,nan,nan,E 2,,,
6070.2,nan,nan,nan,E 2,,,
6330.1,nan,nan,nan,E 2,,,
6826.3,nan,nan,nan,E 2,,,
6885,nan,nan,nan,E 2,,,
7204,nan,nan,nan,E 2,,,
X,nan,nan,nan,E 2,,,
692+X,nan,nan,nan,E 2,,,
1425+X,nan,nan,nan,E 2,,,
2199+X,nan,nan,nan,E 2,,,
3011+X,nan,nan,nan,E 2,,,
3867+X,nan,nan,nan,E 2,,,
4773+X,nan,nan,nan,E 2,,,
5731+X,nan,nan,nan,E 2,,,
6745+X,nan,nan,nan,E 2,,,
7818+X,nan,nan,nan,E 2,,,
8953+X,nan,nan,nan,E 2,,,
10153+X,nan,nan,nan,E 2,,,
11418+X,nan,nan,nan,E 2,,,
12751+X,nan,nan,nan,E 2,,,
14151+X,nan,nan,nan,E 2,,,
15620+X,nan,nan,nan,E 2,,,