E(level)(keV),Jπ(level),E(γ)(keV),I(γ),M(γ),Final Levels,JPi(final)
2014.3 4,29/2+,192.0 3,2.2 17,E 2,"1822.4, 1498.1","27/2+, 25/2+"
2014.3 4,29/2+,516.2 3,100 6,E 2,"1822.4, 1498.1","27/2+, 25/2+"
2145.3 6,(25/2-),163.3 3,100 0,E 2,1982.1,(23/2)-
2191.0 4,(25/2-),358.5 3,30 12,E 2,"1832.5, 1812.9","(25/2-), (21/2-)"
2191.0 4,(25/2-),378.0 3,100 9,E 2,"1832.5, 1812.9","(25/2-), (21/2-)"
2223.1 5,(25/2+),216.6 3,100 9,E 2,"2006.5, 1817.3","(23/2+), 21/2+"
2223.1 5,(25/2+),405.8 3,18 6,E 2,"2006.5, 1817.3","(23/2+), 21/2+"
2263.6 5,(27/2-),274 1,6 4,E 2,"1989.5, 1722.3","(25/2-), (23/2-)"
2263.6 5,(27/2-),541.3 3,100 3,E 2,"1989.5, 1722.3","(25/2-), (23/2-)"
2263.6 3,5/2-,2001.3 5,100 25,E 2,"262.14, 241.90, 81.49","9/2-, 7/2-, 5/2-"
2263.6 3,5/2-,2022.7 6,,E 2,"262.14, 241.90, 81.49","9/2-, 7/2-, 5/2-"
2263.6 3,5/2-,2182.0 4,67 17,E 2,"262.14, 241.90, 81.49","9/2-, 7/2-, 5/2-"
2354.2 6,(27/2-),209.1 3,100 13,E 2,"2145.3, 1982.1","(25/2-), (23/2)-"
2354.2 6,(27/2-),372.0 3,8 3,E 2,"2145.3, 1982.1","(25/2-), (23/2)-"
2357.9 6,(27/2-),561.5 3,100 0,E 2,1796.4,(23/2-)
2392.7 5,(29/2-),560.1 3,100 0,E 2,1832.5,(25/2-)
2397.8 5,31/2+,383.5 3,5.5 23,E 2,"2014.3, 1822.4","29/2+, 27/2+"
2397.8 5,31/2+,575.3 3,100 11,E 2,"2014.3, 1822.4","29/2+, 27/2+"
2464.8 5,(27/2+),241.7 3,100 29,E 2,"2223.1, 2006.5","(25/2+), (23/2+)"
2464.8 5,(27/2+),458.4 3,77 13,E 2,"2223.1, 2006.5","(25/2+), (23/2+)"
2539.4 4,(29/2-),550.0 3,100 0,E 2,1989.5,(25/2-)
2596.2 6,(29/2-),242.0 3,100 19,E 2,"2354.2, 2145.3","(27/2-), (25/2-)"
2596.2 6,(29/2-),450.8 3,22 4,E 2,"2354.2, 2145.3","(27/2-), (25/2-)"
2601.6 5,33/2+,203.7 3,1.9 17,E 2,"2397.8, 2014.3","31/2+, 29/2+"
2601.6 5,33/2+,587.4 3,100 10,E 2,"2397.8, 2014.3","31/2+, 29/2+"
2617.6 5,(29/2-),426.6 3,100 0,E 2,2191,(25/2-)
2729.3 5,(29/2+),264.4 3,100 17,E 2,"2464.8, 2223.1","(27/2+), (25/2+)"
2729.3 5,(29/2+),506.1 3,87 15,E 2,"2464.8, 2223.1","(27/2+), (25/2+)"
2814.7 7,(29/2-),460.5 3,100 0,E 2,2354.2,(27/2-)
2818.3 6,(31/2-),554.7 3,100 0,E 2,2263.6,"5/2-,7/2"
2865.5 6,(31/2-),269.2 3,100 20,E 2,"2596.2, 2354.2","(29/2-), (27/2-)"
2865.5 6,(31/2-),511.3 3,32 5,E 2,"2596.2, 2354.2","(29/2-), (27/2-)"
2969.6 7,(31/2-),611.7 3,100 0,E 2,2357.9,(27/2-)
3001.5 5,(33/2-),608.8 3,100 0,E 2,2392.7,(29/2-)
3015.0 6,(31/2+),285.7 3,49 9,E 2,"2729.3, 2464.8","(29/2+), (27/2+)"
3015.0 6,(31/2+),550.3 3,100 13,E 2,"2729.3, 2464.8","(29/2+), (27/2+)"
3028.2 5,35/2+,426.6 3,7 3,E 2,"2601.6, 2397.8","33/2+, 31/2+"
3028.2 5,35/2+,630.4 3,100 16,E 2,"2601.6, 2397.8","33/2+, 31/2+"
3070.5 7,(31/2-),255.8 3,100 0,E 2,2814.7,(29/2-)
3094.7 5,(33/2-),555.4 3,100 0,E 2,2539.4,(29/2-)
3105.2 4,(33/2-),487.6 3,63 8,E 2,"2617.6, 2539.4","(29/2-), (29/2-)"
3105.2 4,(33/2-),565.8 3,100 23,E 2,"2617.6, 2539.4","(29/2-), (29/2-)"
3159.4 6,(33/2-),293.8 3,100 28,E 2,"2865.5, 2596.2","(31/2-), (29/2-)"
3159.4 6,(33/2-),563.3 3,45 7,E 2,"2865.5, 2596.2","(31/2-), (29/2-)"
3251.5 6,37/2+,649.9 3,100 0,E 2,2601.6,33/2+
3320.0 6,(33/2+),304.8 3,69 18,E 2,"3015.0, 2729.3","(31/2+), (29/2+)"
3320.0 6,(33/2+),590.7 3,100 33,E 2,"3015.0, 2729.3","(31/2+), (29/2+)"
3346.9 7,(33/2-),276.4 3,100 17,E 2,"3070.5, 2814.7","(31/2-), (29/2-)"
3346.9 7,(33/2-),532.2 3,29 7,E 2,"3070.5, 2814.7","(31/2-), (29/2-)"
3382.7 6,(35/2-),564.4 3,100 0,E 2,2818.3,(31/2-)
3474.8 6,(35/2-),315.5 3,100 33,E 2,"3159.4, 2865.5","(33/2-), (31/2-)"
3474.8 6,(35/2-),609.3 3,76 13,E 2,"3159.4, 2865.5","(33/2-), (31/2-)"
3625.5 7,(35/2-),655.9 3,100 0,E 2,2969.6,(31/2-)
3640.0 5,(37/2-),535 1 ?,≤6,E 2,"3105.2, 3094.7, 3001.5","(33/2-), (33/2-), (33/2-)"
3640.0 5,(37/2-),545.3 3,19 8,E 2,"3105.2, 3094.7, 3001.5","(33/2-), (33/2-), (33/2-)"
3640.0 5,(37/2-),638.4 3,100 13,E 2,"3105.2, 3094.7, 3001.5","(33/2-), (33/2-), (33/2-)"
3642.2 7,(35/2-),295.3 3,100 29,E 2,"3346.9, 3070.5","(33/2-), (31/2-)"
3642.2 7,(35/2-),571.7 3,66 11,E 2,"3346.9, 3070.5","(33/2-), (31/2-)"
3643.1 6,(35/2+),323.1 3,70 32,E 2,"3320.0, 3015.0","(33/2+), (31/2+)"
3643.1 6,(35/2+),628.1 3,100 24,E 2,"3320.0, 3015.0","(33/2+), (31/2+)"
3660.9 5,(37/2-),659.4 3,100 0,E 2,3001.5,(33/2-)
3685.5 5,(37/2-),580.3 3,71 24,E 2,"3105.2, 3094.7","(33/2-), (33/2-)"
3685.5 5,(37/2-),590.8 3,100 29,E 2,"3105.2, 3094.7","(33/2-), (33/2-)"
3701.9 6,39/2+,673.7 3,100 0,E 2,3028.2,35/2+
3811.1 7,(37/2-),336.3 3,100 30,E 2,"3474.8, 3159.4","(35/2-), (33/2-)"
3811.1 7,(37/2-),651.8 3,73 15,E 2,"3474.8, 3159.4","(35/2-), (33/2-)"
3954.5 6,(41/2+),703.0 3,100 0,E 2,3251.5,37/2+
3959.0 7,(37/2-),316.8 3,100 34,E 2,"3642.2, 3346.9","(35/2-), (33/2-)"
3959.0 7,(37/2-),612.1 3 ?,≤17,E 2,"3642.2, 3346.9","(35/2-), (33/2-)"
3976.6 7,(39/2-),593.9 3,100 0,E 2,3382.7,(35/2-)
3982.6 6,(37/2+),339.6 3,64 21,E 2,"3643.1, 3320.0","(35/2+), (33/2+)"
3982.6 6,(37/2+),662.5 3,100 43,E 2,"3643.1, 3320.0","(35/2+), (33/2+)"
4166.1 7,(39/2-),355.0 3,88 42,E 2,"3811.1, 3474.8","(37/2-), (35/2-)"
4166.1 7,(39/2-),691.3 3 ?,100 29,E 2,"3811.1, 3474.8","(37/2-), (35/2-)"
4256.4 5,(41/2-),595.4 3,38 8,E 2,"3660.9, 3640.0","(37/2-), (37/2-)"
4256.4 5,(41/2-),616.4 3,100 31,E 2,"3660.9, 3640.0","(37/2-), (37/2-)"
4298.9 8,(39/2-),339.9 3,100 0,E 2,3959,(37/2-)
4314.0 6,(41/2-),628.5 3,100 0,E 2,3685.5,(37/2-)
4324.6 8,(39/2-),699.0 3,100 0,E 2,3625.5,(35/2-)
4342.6 6,(39/2+),360.0 3,100 29,E 2,"3982.6, 3643.1","(37/2+), (35/2+)"
4342.6 6,(39/2+),699.5 3,48 24,E 2,"3982.6, 3643.1","(37/2+), (35/2+)"
4414.6 7,(43/2+),712.7 3,100 0,E 2,3701.9,39/2+
4616.2 8,(43/2-),639.6 3,100 0,E 2,3976.6,(39/2-)
4661 2,(41/2-),362 1 ?,100 0,E 2,4298.9,(39/2-)
4703.5 7,(45/2+),749.0 3,100 0,E 2,3954.5,(41/2+)
4717 1,(41/2+),734 1 ?,100 0,E 2,3982.6,(37/2+)
4930.4 6,(45/2-),674.0 3,100 0,E 2,4256.4,(41/2-)
4985 1,(45/2-),671 1,100 0,E 2,4314,(41/2-)
5070 2,(43/2-),745 1 ?,100 0,E 2,4324.6,(39/2-)
5166.7 7,(47/2+),752.1 3,100 0,E 2,4414.6,(43/2+)
5312.8 8,(47/2-),696.6 3,100 0,E 2,4616.2,(43/2-)
5493.7 8,(49/2+),790.2 3,100 0,E 2,4703.5,(45/2+)
5664 1,(49/2-),734 1 ?,100 0,E 2,4930.4,(45/2-)
5970.2 8,(51/2+),803.5 3,100 0,E 2,5166.7,(47/2+)
6070.2 9,(51/2-),757.4 3,100 0,E 2,5312.8,(47/2-)
6330.1 8,(53/2+),836.4 3,100 0,E 2,5493.7,(49/2+)
6826.3 8,(55/2+),856.1 3,100 0,E 2,5970.2,(51/2+)
6885 2,(55/2-),815 1,100 0,E 2,6070.2,(51/2-)
7204 2,(57/2+),874 1,100 0,E 2,6330.1,(53/2+)
X,J,nan,nan,E 2,nan,nan
692+X,J+2,692,nan,E 2,X,J
1425+X,J+4,733,nan,E 2,692+X,J+2
2199+X,J+6,774,nan,E 2,1425+X,J+4
3011+X,J+8,812,nan,E 2,2199+X,J+6
3867+X,J+10,856,nan,E 2,3011+X,J+8
4773+X,J+12,906,nan,E 2,3867+X,J+10
5731+X,J+14,958,nan,E 2,4773+X,J+12
6745+X,J+16,1014,nan,E 2,5731+X,J+14
7818+X,J+18,1073,nan,E 2,6745+X,J+16
8953+X,J+20,1135,nan,E 2,7818+X,J+18
10153+X,J+22,1200,nan,E 2,8953+X,J+20
11418+X,J+24,1265,nan,E 2,10153+X,J+22
12751+X,J+26,1333,nan,E 2,11418+X,J+24
14151+X,J+28,1400,nan,E 2,12751+X,J+26
15620+X,J+30,1469,nan,E 2,14151+X,J+28
nan,nan,nan,nan,E 2,nan,nan
E(level)(keV),T1/2(level),Multipolarity,MixingRatio,E 2,Additional Data,nan
69.73,nan,M1+E2,0.88 20,E 2,α=13.4 5,nan
81.49,nan,E2,nan,E 2,α=8.13,nan
107.16,180 ns 8,M1,nan,E 2,"B(M1)(W.u.)=4.4×10-5 14, α=37.7",nan
5/2-,37.40 5,0.029 +8-11,12.6,E 2,nan,nan
5/2-,107.2 2,nan,2.73,E 2,nan,nan
197.23,nan,M1+E2,0.23 2,E 2,α=5.58,nan
197.47,160 ns 40,E1,nan,E 2,"B(E1)(W.u.)=1.3E-6 4, α=0.472",nan
241.9,nan,M1+E2,0.69 +40-30,E 2,α=0.93 8,nan
7/2-,172.2 1,nan,0.484,E 2,nan,nan
255.51,nan,M1+E2,0.21 10,E 2,α=4.7 14,nan
262.14,nan,E2,nan,E 2,α=0.41,nan
312.27,nan,M1+E2,nan,E 2,α=2.4 3,nan
9/2-,205.3 2,nan,0.266,E 2,nan,nan
435.4,nan,M1+E2,-0.49 3,E 2,α=4.12,nan
13/2+,180.0 3,nan,0.415,E 2,nan,nan
451.5,nan,M1+E2,+0.09 2,E 2,α=1.59,nan
508.6,nan,E2,nan,E 2,α=0.114,nan
536,nan,E2,nan,E 2,α=0.106,nan
567.4,nan,M1+E2,9.79,E 2,α=1.84 6,nan
15/2+,231.5 3,nan,0.179,E 2,nan,nan
613.7,nan,M1+E2,-0.05 11,E 2,α=1.04,nan
13/2-,301.3 3,nan,0.0788,E 2,nan,nan
704.2,nan,M1+E2,6.75,E 2,α=1.65 5,nan
17/2+,269.0 3,nan,0.111,E 2,nan,nan
785.3,nan,E1,nan,E 2,α=0.00583,nan
"7/2-,9/2-",587.8 2,1.9 +31-7,0.0174,E 2,nan,nan
797.5,nan,(E2),nan,E 2,α=0.0524,nan
811.7,nan,M1,nan,E 2,α=0.0188,nan
862.2,nan,E2,nan,E 2,α=0.0493,nan
895,nan,E2,nan,E 2,α=0.0472,nan
896,nan,M1+E2,4.1,E 2,α=0.51 7,nan
19/2+,328.7 3,nan,0.0609,E 2,nan,nan
942.8,nan,M1+E2,1.9 +34-7,E 2,α=0.0114 11,nan
1002.6,nan,E2,nan,E 2,α=0.0378,nan
1060,nan,M1+E2,1.17,E 2,α=0.995,nan
21/2+,355.7 3,nan,0.0485,E 2,nan,nan
1111.4,nan,E1,nan,E 2,α=0.00156,nan
1225.8,nan,M1+E2,-0.20 8,E 2,α=0.419,nan
(19/2-),428.3 3,nan,0.0291,E 2,nan,nan
1248.5,nan,M1,nan,E 2,α=0.00848,nan
1294.4,nan,E2,nan,E 2,α=0.0284,nan
1317.5,nan,E2,nan,E 2,α=0.0303,nan
1330.5,nan,E2,nan,E 2,α=0.0278,nan
1450.2,nan,E1,nan,E 2,α=0.00117,nan
1467.2,nan,E2,nan,E 2,α=0.0234,nan
1498.1,nan,E2,nan,E 2,α=0.0273,nan
1700.5,≤ 5 ns,E2,nan,E 2,"B(E2)(W.u.)≥0.00094, α=0.00416",nan
1722.3,nan,E2,nan,E 2,α=0.0198,nan
1796.4,nan,(E2),nan,E 2,α=0.0193,nan
1817.3,nan,M1+E2,nan,E 2,α=2.3 3,nan
1822.4,nan,E2,nan,E 2,α=0.0191,nan
1832.5,nan,(E2),nan,E 2,α=0.0193,nan
1982.1,19.5 ns 6,E1,nan,E 2,"B(E1)(W.u.)=2.27E-6 8, α=0.0979",nan
1989.5,nan,E2,nan,E 2,α=0.0175,nan
2014.3,nan,E2,nan,E 2,α=0.0180,nan
2263.6,nan,E2,nan,E 2,α=0.0160,nan
2392.7,nan,(E2),nan,E 2,α=0.0148,nan
2397.8,nan,E2,nan,E 2,α=0.0138,nan
2596.2,nan,(M1+E2),+0.25 4,E 2,α=0.331,nan
2601.6,nan,E2,nan,E 2,α=0.0132,nan
2814.7,≤ 3.5 ns,E2,nan,E 2,"B(E2)(W.u.)≥0.13, α=0.0240",nan
2818.3,nan,(E2),nan,E 2,α=0.0151,nan
3001.5,nan,(E2),nan,E 2,α=0.0121,nan
3028.2,nan,E2,nan,E 2,α=0.0112,nan
3251.5,nan,E2,nan,E 2,α=0.0104,nan
3640,nan,E2,nan,E 2,α=0.0158,nan
3685.5,nan,(E2),nan,E 2,α=0.0130,nan
3701.9,nan,E2,nan,E 2,α=0.00958,nan
nan,nan,nan,nan,E 2,nan,nan
E(level),T1/2(level),nan,nan,E 2,nan,nan
0,23.6 h 1,nan,nan,E 2,nan,nan
69.73,nan,nan,nan,E 2,nan,nan
81.49,nan,nan,nan,E 2,nan,nan
107.16,180 ns 8,nan,nan,E 2,nan,nan
197.23,nan,nan,nan,E 2,nan,nan
197.47,160 ns 40,nan,nan,E 2,nan,nan
241.9,nan,nan,nan,E 2,nan,nan
255.51,nan,nan,nan,E 2,nan,nan
262.14,nan,nan,nan,E 2,nan,nan
312.27,nan,nan,nan,E 2,nan,nan
336,nan,nan,nan,E 2,nan,nan
435.4,nan,nan,nan,E 2,nan,nan
451.5,nan,nan,nan,E 2,nan,nan
508.6,nan,nan,nan,E 2,nan,nan
536,nan,nan,nan,E 2,nan,nan
567.4,nan,nan,nan,E 2,nan,nan
613.7,nan,nan,nan,E 2,nan,nan
704.2,nan,nan,nan,E 2,nan,nan
797.5,nan,nan,nan,E 2,nan,nan
862.2,nan,nan,nan,E 2,nan,nan
895,nan,nan,nan,E 2,nan,nan
896,nan,nan,nan,E 2,nan,nan
1002.6,nan,nan,nan,E 2,nan,nan
1060,nan,nan,nan,E 2,nan,nan
1078.3,nan,nan,nan,E 2,nan,nan
1208.4,nan,nan,nan,E 2,nan,nan
1225.8,nan,nan,nan,E 2,nan,nan
1294.4,nan,nan,nan,E 2,nan,nan
1317.5,nan,nan,nan,E 2,nan,nan
1330.5,nan,nan,nan,E 2,nan,nan
1355.2,nan,nan,nan,E 2,nan,nan
1467.2,nan,nan,nan,E 2,nan,nan
1473.2,nan,nan,nan,E 2,nan,nan
1498.1,nan,nan,nan,E 2,nan,nan
1521,nan,nan,nan,E 2,nan,nan
1700.5,≤ 5 ns,nan,nan,E 2,nan,nan
1722.3,nan,nan,nan,E 2,nan,nan
1796.4,nan,nan,nan,E 2,nan,nan
1812.9,nan,nan,nan,E 2,nan,nan
1817.3,nan,nan,nan,E 2,nan,nan
1822.4,nan,nan,nan,E 2,nan,nan
1832.5,nan,nan,nan,E 2,nan,nan
1982.1,19.5 ns 6,nan,nan,E 2,nan,nan
1989.5,nan,nan,nan,E 2,nan,nan
2006.5,nan,nan,nan,E 2,nan,nan
2014.3,nan,nan,nan,E 2,nan,nan
2145.3,nan,nan,nan,E 2,nan,nan
2191,nan,nan,nan,E 2,nan,nan
2223.1,nan,nan,nan,E 2,nan,nan
2263.6,nan,nan,nan,E 2,nan,nan
2354.2,nan,nan,nan,E 2,nan,nan
2357.9,nan,nan,nan,E 2,nan,nan
2392.7,nan,nan,nan,E 2,nan,nan
2397.8,nan,nan,nan,E 2,nan,nan
2464.8,nan,nan,nan,E 2,nan,nan
2539.4,nan,nan,nan,E 2,nan,nan
2596.2,nan,nan,nan,E 2,nan,nan
2601.6,nan,nan,nan,E 2,nan,nan
2617.6,nan,nan,nan,E 2,nan,nan
2729.3,nan,nan,nan,E 2,nan,nan
2814.7,≤ 3.5 ns,nan,nan,E 2,nan,nan
2818.3,nan,nan,nan,E 2,nan,nan
2865.5,nan,nan,nan,E 2,nan,nan
2969.6,nan,nan,nan,E 2,nan,nan
3001.5,nan,nan,nan,E 2,nan,nan
3015,nan,nan,nan,E 2,nan,nan
3028.2,nan,nan,nan,E 2,nan,nan
3070.5,nan,nan,nan,E 2,nan,nan
3094.7,nan,nan,nan,E 2,nan,nan
3105.2,nan,nan,nan,E 2,nan,nan
3159.4,nan,nan,nan,E 2,nan,nan
3251.5,nan,nan,nan,E 2,nan,nan
3320,nan,nan,nan,E 2,nan,nan
3346.9,nan,nan,nan,E 2,nan,nan
3382.7,nan,nan,nan,E 2,nan,nan
3474.8,nan,nan,nan,E 2,nan,nan
3625.5,nan,nan,nan,E 2,nan,nan
3640,nan,nan,nan,E 2,nan,nan
3642.2,nan,nan,nan,E 2,nan,nan
3643.1,nan,nan,nan,E 2,nan,nan
3660.9,nan,nan,nan,E 2,nan,nan
3685.5,nan,nan,nan,E 2,nan,nan
3701.9,nan,nan,nan,E 2,nan,nan
3811.1,nan,nan,nan,E 2,nan,nan
3954.5,nan,nan,nan,E 2,nan,nan
3959,nan,nan,nan,E 2,nan,nan
3976.6,nan,nan,nan,E 2,nan,nan
3982.6,nan,nan,nan,E 2,nan,nan
4166.1,nan,nan,nan,E 2,nan,nan
4256.4,nan,nan,nan,E 2,nan,nan
4298.9,nan,nan,nan,E 2,nan,nan
4314,nan,nan,nan,E 2,nan,nan
4324.6,nan,nan,nan,E 2,nan,nan
4342.6,nan,nan,nan,E 2,nan,nan
4414.6,nan,nan,nan,E 2,nan,nan
4616.2,nan,nan,nan,E 2,nan,nan
4661,nan,nan,nan,E 2,nan,nan
4703.5,nan,nan,nan,E 2,nan,nan
4717,nan,nan,nan,E 2,nan,nan
4930.4,nan,nan,nan,E 2,nan,nan
4985,nan,nan,nan,E 2,nan,nan
5070,nan,nan,nan,E 2,nan,nan
5166.7,nan,nan,nan,E 2,nan,nan
5312.8,nan,nan,nan,E 2,nan,nan
5493.7,nan,nan,nan,E 2,nan,nan
5664,nan,nan,nan,E 2,nan,nan
5970.2,nan,nan,nan,E 2,nan,nan
6070.2,nan,nan,nan,E 2,nan,nan
6330.1,nan,nan,nan,E 2,nan,nan
6826.3,nan,nan,nan,E 2,nan,nan
6885,nan,nan,nan,E 2,nan,nan
7204,nan,nan,nan,E 2,nan,nan
X,nan,nan,nan,E 2,nan,nan
692+X,nan,nan,nan,E 2,nan,nan
1425+X,nan,nan,nan,E 2,nan,nan
2199+X,nan,nan,nan,E 2,nan,nan
3011+X,nan,nan,nan,E 2,nan,nan
3867+X,nan,nan,nan,E 2,nan,nan
4773+X,nan,nan,nan,E 2,nan,nan
5731+X,nan,nan,nan,E 2,nan,nan
6745+X,nan,nan,nan,E 2,nan,nan
7818+X,nan,nan,nan,E 2,nan,nan
8953+X,nan,nan,nan,E 2,nan,nan
10153+X,nan,nan,nan,E 2,nan,nan
11418+X,nan,nan,nan,E 2,nan,nan
12751+X,nan,nan,nan,E 2,nan,nan
14151+X,nan,nan,nan,E 2,nan,nan
15620+X,nan,nan,nan,E 2,nan,nan
