E(level)(keV),Jπ(level),E(γ)(keV),I(γ),M(γ)
0.00 0,5+,0.00 0,,
58.59 1,2+,58.603 7,100,M3+(E4)
277.20 2,4+,277.08 3,100,(M1+E2)
288.40 2,3+,229.72 4,100,(M1+E2)
435.71 4,5+,158.46 5,"100.0 7 ,     64.0 13","(M1+E2), (M1+E2)"
435.71 4,5+,435.71 5,"100.0 7 ,     64.0 13","(M1+E2), (M1+E2)"
506.20 3,3+,"217.88 20 ,    447.68 9","0.53 5 ,    100.0 13",", (M1+E2)"
542.82 2,2+,"254.23 5 ,    484.21 3","100.0 19 ,     61.5 7","(M1+E2),"
614.55 2,3+,"337.32 7 ,    555.969 12","3.68 10 ,    100.0 9",", (M1+E2)"
738.80 2,1+,"195.84 5 ,    680.210 13","70.7 11 ,    100.0 16",","
785.71 1,4+,"171.3 3 ,    349.87 8 ,    497.275 18 ,    785.724 10","2.3 4 ,      4.33 14 ,     83.7 6 ,    100.0 14",", , (M1+E2), (M1+E2)"
940 30 ?,,,,
1003.91 2,"(3,4)","461.04 3 ,    715.38 8 ,    726.709 13 ,    945.321 17","52.6 4 ,      4.8 4 ,     48.2 7 ,    100 2",", , ,"
1005.80 2,4,"220.00 11 ,    391.221 21 ,    717.415 10 ,   1005.69 4","3.58 14 ,    100.0 7 ,     78.3 10 ,     12.3 5",", D+Q, ,"
1131.98 19,,393.18 19,100,
1150.70 5,"(2+,3+)",862.30 4,100,
1207.83 3,5+,"930.614 17 ,   1207.96 7","100.0 18 ,     40 4",","
1216.45 18,6+,"779.91 16 ?,   1216.44 18","35 7 ,    100",","
1216.85 3,4,"710.648 10 ,    928.42 3","100.0 13 ,     23.8 7",","
1341.86 3,3+,"799.03 3 ,   1283.27 3 ,   1341.2 3","54.0 15 ,    100 3 ,      6.7 19",", ,"
1379.74 6,6+,"172.1 4 ,    944.05 5","19 6 ,    100 6",","
1380.97 4,3+,1103.76 3,100,
1451.21 3,4+,"665.52 4 ,    908.37 3","71 3 ,    100 4",","
1508.30 9,"2+,3+",1002.09 8,100,
1510 10,7+,,,
1515.80 3,4+,"901.282 15 ,   1238.561 22 ,   1515.748 14","17.1 3 ,     12.0 3 ,    100 3",", ,"
1565.94 3,2,"224.1 3 ,   1277.49 3 ,   1507.348 23","14.9 21 ,     28.2 9 ,    100 3",", ,"
1639.84 3,"3+,4+,5+","854.147 22 ,   1362.49 6","100.0 23 ,     43.6 23",","
≈1669?,,,,
1686.21 5,1+,947.41 4,100,
1709.68 13,,1651.05 13,100,
1749.29 3,3+,"963.57 3 ,   1206.66 12 ,   1472.01 3 ,   1690.74 4","54.2 17 ,     34 5 ,     94 3 ,    100 5",", , ,"
1787.62 4,5(+),"781.81 3 ,   1787.4 3","100 3 ,     43 15",","
1800.22 15,(6)-,"420.86 19 ,    584.43 10 ,   1799.70 22","1.1 11 ,      6.5 22 ,    100.0 22",", , [E1]"
1808.63 15,4-,1808.37 18,100,
1830.80 2,4+,"1553.68 6 ,   1830.763 21","7.1 4 ,    100 4",","
1833.23 4,,1774.62 3,100,
1852.71 4,4+,1852.678 25,100,
1877.15 5,2,"1262.56 10 ,   1818.54 5","17.2 14 ,    100 6",","
1888.90 4,4+,"883.20 5 ,   1274.26 3 ,   1889.04 8","36.5 18 ,    100 3 ,     50 4",", ,"
1924.29 21,+,1647.06 21,100,
1981.20 5,4,1692.78 4,100,
1983.52 16,,174.91 5,100,
2032.71 11,"2+,3+",824.88 10,100,
2045.42 11,,"837.62 14 ,   1539.16 17","53 7 ,    100 13",","
2080.77 11,,2022.15 11,100,
2121.82 5,"3(+),4(+)","1117.92 5 ,   2121.3 3","100 5 ,     27 6",","
2132.23 23,(7-),"332.54,    916.44 14","100 6 ,     22 6",","
2133.44 7,"3,4","1844.98 9 ,   2074.84 9","70 5 ,    100 6",","
2151.9 3,,1146.1 3,100,
2183.10 6,"2+,3+",617.15 5,100,
2199.9 3,,,,
2221.56 9,4+,"1215.79 14 ,   2221.49 10","9E+1 4 ,      1.0E+2 1",","
2230.44 10,,2171.65 11,100,
2274.67 16,,1986.24 16,100,
2279.94 20,5+,2279.89 20,100,
2310.15 6,3,2032.91 4,100,
2318.4 10,,,,
2324.3 4,,2265.7 4,100,
2341.82 8,,1556.09 8,100,
2351.87 9,,"1134.75 13 ,   1809.53 24","26 3 ,      1.0E+2 4",","
2363.96 9,,,,
2423.28 10,4,1419.35 7,100,
2430.97 10,"3-,4-","297.55 8 ,   2430.85 24","100 3 ,     57 8",","
2450.87 15,"3,4",370.09 10,100,
2469.72 24,,2469.6 3,100,
2488.71 9,5,"1271.91 10 ,   1982.34 17 ,   2210.8 7 ,   2488.59 21","81 7 ,     96 11 ,     28 12 ,    100 12",", , ,"
2529.00 15,,"728.753 23 ,   2240.5 8","100 3 ,     11 5",","
2546 3,,,,
2560.0 3,,2501.3 3,100,
2569.96 7,4,"2063.82 11 ,   2281.75 15 ,   2569.68 11","39 3 ,     79 10 ,    100 6",", ,"
2585.73 7,,"233.89 11 ,   1069.92 11 ,   2527.04 11","14.8 7 ,     20.2 20 ,    100 7",", ,"
2598.07 11,3+,2309.63 11,100,
2607.58 13,,2607.52 13,100,
2622.07 15,,589.35 11,100,
2655.71 19,,1504.99 18,100,
2685.35 22,"3-,4-",2249.71 22,100,
2709.97 20,"2,3,4",2203.73 19,100,
2718.80 16,1,,,
2734.5 8,,,,
2760.9 5,,2472.4 5,100,
2768.13 25,,"2262.4 4 ,   2768.4 5","72 14 ,    100 17",","
2771.35 24,,1639.35 14,100,
2785.77 15,"3,4",2727.11 15,100,
2801.6 3,,2801.7 4,100,
2809.7 4,,,,
2823.2 5,(8)-,691.0 4,100,
2825.60 11,"3-,4-",2319.36 10,100,
2845.03 14,,"1158.85 15 ,   2338.6 3","45 6 ,    100 17",","
2867.57 12,,"2128.71 14 ,   2361.38 22","1.0E+2 1 ,     82 11",","
2884 10,5+,,,
2884.92 8,"3-,4-","2099.21 7 ,   2884.43 24","100 6 ,     87 8",","
2897.4 8 ?,,,,
2901.81 9,,779.98 7,100,
2917.6 8 ?,,,,
2920.4 4,,"2632.1 4 ,   2861.2 7","75 16 ,    100 23",","
2936.48 14,,1226.79 4,100,
2939.2 9,,,,
2944.2 3,,744.27 6,100,
2963.09 11,,532.11 4,100,
2996.9 3,,2454.0 3,100,
3010.1 3,,1176.9 3,100,
3022.28 9,"3,4","1382.41 7 ,   2745.7 9","100 6 ,     51 13",","
3047.5 6,,2759.0 6,100,
3064.8 3,,"2628.7 5 ,   3006.2 3","70 12 ,    100 11",","
3077.06 25,,2641.29 24,100,
3084.6 4,,3084.8 6,100,
3096.35 9,,2357.51 8,100,
3108 10,7+,,,
3114.1 6,"3,4",2836.8 6,100,
3121.4 4,,"2831.7 13 ,   3121.4 4","44 19 ,    100 12",","
3132.2 3,,2346.4 6,100,
3141.47 13,,1924.59 12,100,
3155.49 19,,"2866.4 7 ,   3096.92 20 ,   3154.1 10","42 11 ,    100 7 ,     23 7",", ,"
3162.7 3,,602.711 25,100,
3186.6 4,"3-,4-",3127.9 4,100,
3191.00 8,,827.03 7,100,
3199.3 9,,,,
3203.22 13,,"972.50 15 ,   2926.31 17","56 3 ,    100 8",","
3216.24 18,,3216.15 18,100,
3238.5 3,,,,
≈3265,,,,
3279.46 13,,1246.74 8,100,
3283.81 17,"3,4","2777.5 3 ,   2995.30 22 ,   3284.0 5","73 8 ,     95 8 ,    100 15",", ,"
≈3314,,,,
3336.48 24,,"2899.8 4 ,   3048.5 3","85 11 ,      1.0E+2 1",","
3343.26 18,,2557.49 18,100,
≈3367,,,,
≈3393,"3-,4-",,,
3415.51 12,,1334.72 5,100,
≈3436,,,,
3460.4 3,,3401.7 3,100,
3465.53 21,,1677.89 20,100,
3469 10,7+,,,
3496.94 24,,,,
3514.79 23,,"829.45 8 ,   3513.6 7","100 8 ,     61 14",","
3529 10,,,,
3560 20,5+,,,
3562.09 24,,"1092.347 22 ,   3503.7 4","100.0 24 ,     13.6 18",","
3588.98 13,"3-,4-",1839.66 11,100,
3594.92 22,,"1612.3 3 ,   1785.94 18","17 4 ,    100 19",","
≈3622,"3-,4-",,,
3646.6 5,-9,823.33 20,100,
3650.4 4,,2434.5 3,100,
3674 10,7+,,,
3690.5 7,-9,867.3 5,100,
3696.9 4,,1544.99 12,100,
≈3721,,,,
3742.44 16,,"1023.636 24 ,   1542.51 25 ,   1910.4 4 ,   1933.72 8 ,   3454.0 3","100.0 24 ,     16 3 ,     11 3 ,     57 4 ,     47 4",", , , ,"
3780 20,7+,,,
3797.98 17,,"2158.12 17 ,   3290.3 13","100 11 ,     47 13",","
3827.6 3,,"1059.50 10 ,   3320.6 4","68 6 ,    100 13",","
3841.2 6,-9,1017.94,100,
3871.1 6,"3-,4-",3328.2 6,100,
3914.8 8,,"3407.9 9 ,   3639.6 17","100 25 ,     39 19",","
3928.0 9,,2720.1 9,100,
≈3949,,,,
≈3987,,,,
≈4005?,"3-,4-",,,
4012.16 16,"3,4",1075.67 7,100,
≈4024,,,,
4040 30,7+,,,
≈4049,,,,
≈4067,"3-,4-",,,
≈4085,,,,
4100.97 21,,"968.74 22 ,   3823.54 23 ,   4043.6 8","21 5 ,    100 7 ,     26 6",", ,"
4112.5 4,,4112.3 4,100,
≈4134,,,,
4156.57 18,"3-,4-",,,
≈4166,,,,
4194.0 4,,"3651.1 5 ,   3758.1 5","73 12 ,    100 14",","
≈4206?,,,,
4212.8 7,"3,4",3669.9 7,100,
4253.9 3,,3248.0 3,100,
4270.02 24,"3-,4-",2482.35 23,100,
4277.0 6,-10,"435.76 20 ,    630.37 10","12 4 ,    100 4",","
4280 30,,,,
4292.05 12,,"1195.69 8 ,   3677.38 25","38.7 25 ,    100 7",","
4297.8 4,,2789.4 4,100,
≈4307,,,,
≈4325,,,,
≈4341,,,,
≈4365,"3-,4-",,,
≈4390,"3-,4-",,,
≈4408,,,,
≈4420,,,,
≈4452,,,,
4485 10,,,,
≈4507?,,,,
4514.0 4,,"1429.31 14 ,   1704.21 7 ,   2661.1 4","55 6 ,    100 6 ,     36 7",", ,"
≈4523?,,,,
4540.7 12,,3997.7 12,100,
4550 30,7+,,,
≈4563,,,,
≈4594?,,,,
4600.97 17,,"3815.06 17 ,   4312.8 4","100 6 ,     47 6",","
≈4610?,,,,
≈4626,,,,
≈4668,,,,
≈4698,"3-,4-",,,
4700 30,7+,,,
≈4713,,,,
4752.33 12,,"2399.6 3 ,   3966.60 11 ,   4245.3 9","19.0 25 ,    100 5 ,      5.9 15",", ,"
≈4773,,,,
≈4786,,,,
4800 30,7+,,,
4800.1 3,"3-,4-","1998.48 14 ,   3349.2 6 ,   4799.5 4","1.0E+2 1 ,     44 8 ,     40 5",", ,"
4811.3 5,,3302.9 5,100,
4827.5 7,-11,550.5 4,100,
≈4841,,,,
≈4864,,,,
4874.2 9,,3493.1 9,100,
≈4893,,,,
≈4917,"3-,4-",,,
≈4932,,,,
≈4965,,,,
≈4980,,,,
≈4995,,,,
≈5014,,,,
≈5031,,,,
≈5057,,,,
≈5083,,,,
≈5098,,,,
≈5113,,,,
≈5133,,,,
≈5146,,,,
5160.8 6,-11,883.79 11,100,
≈5189,,,,
≈5202,,,,
≈5243,,,,
≈5271,,,,
≈5291,,,,
≈5306,,,,
≈5326,,,,
≈5350,,,,
≈5372,,,,
≈5394,,,,
≈5411,,,,
≈5424,,,,
≈5440,,,,
≈5456,,,,
≈5471,,,,
≈5488,,,,
≈5529,,,,
≈5545,,,,
≈5560,,,,
5575.6 8,,748.1 3,100,
≈5591,,,,
≈5610,,,,
≈5638,,,,
≈5655,,,,
≈5670,,,,
≈5684,,,,
≈5705,,,,
≈5731,,,,
≈5750,,,,
≈5773,,,,
≈5809,,,,
≈5822,,,,
≈5838,,,,
≈5852,,,,
≈5871,,,,
≈5889,,,,
≈5928,,,,
≈5943,,,,
≈5955,,,,
≈5973,,,,
≈5987,,,,
≈5999,,,,
≈6013,,,,
≈6027,,,,
≈6047,,,,
≈6066,,,,
≈6088,,,,
≈6104,,,,
≈6129,,,,
≈6146,,,,
≈6165,,,,
≈6180,,,,
≈6198,,,,
6417 1,-12,1256.2 8,100,
7.05E+3 5,,,,
7491.92 8 S,"3-,4-",,,
≈7514,,,,
7.79E+3 4,,,,
8122.4 17,-13,2546.8 15,100,
8.69E+3 15,,,,
,,,,
E(level)(keV),T1/2(level),Multipolarity,MixingRatio,ConversionCoefficient
58.59,"10.467 m 6 , % IT = 99.75 3, % β- = 0.25 3",M3+(E4),0.02 LT,47.3
277.2,,(M1+E2),,0.007
288.4,,(M1+E2),,0.014
435.71,,(M1+E2),,0.05
5+,435.71 5,,0.0017,"α=0.0017 7, α(K)=0.0015 6, α(L)=0.00015 6, α(M)=2.1×10-5 8, α(N)=9.E-7 4, α(N+)=9.E-7 4"
506.2,,(M1+E2),,0.0016
542.82,,(M1+E2),,0.01
614.55,,(M1+E2),,0.00084
785.71,< 3.2 ps,(M1+E2),,0.0012
4+,785.724 10,,0.00035,"α=0.00035 6, α(K)=0.00031 5, α(L)=3.0×10-5 5, α(M)=4.2E-6 7, α(N)=1.9E-7 3, α(N+)=1.9E-7 3"
1800.22,1.7 ps +14-6,[E1],,0.000525
,,,,
E(level),T1/2(level),,,
1216.45,0.28 ps +21-14,,,
1379.74,0.7 ps 3,,,
1510,,,,
2363.96,,,,
3108,,,,
3469,,,,
3529,,,,
3674,,,,
3780,,,,
4040,,,,
4156.57,,,,
4365,,,,
4485,,,,
4507,,,,
4523,,,,
4550,,,,
4594,,,,
4610,,,,
4698,,,,
4700,,,,
4800,,,,
7491.92,,,,
7514,,,,